active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
transact,"vt. 办理, 处理
vi. 作交易, 谈判"
transaction,"n. 交易, 办理, 学报, 和解协议
[计] 事务处理"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
interaction,"un. (美国)《相互影响》月刊
[网络] 互动；作用；动作补间"
interactive,"a. 相互作用的, 相互影响的
[计] 交互, 人机对话的"
react,"vi. 起反应, 起作用, 反攻
[医] 应答, 发生反应"
reaction,"n. 反应, 反作用, 反动
[医] 反应"
agency,"n. 代理机构, 经销商, 中介
[化] 办事处"
agent,"n. 代理商, 政府代表, 动原, 媒介
[计] 代理程序"
agenda,"pl. 议程, 日常工作事项
[计] 待议事件"
insect,"n. 昆虫, 卑鄙的人
[医] 昆虫"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
[计] 扇区"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
[计] 扇面; 扇区; 段; 区段"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
[计] 段"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
[医] 完整的, 无伤的"
contagion,"n. 触染, 触染病, 蔓延, 歪风
[医] 接触传染; 接触染物"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
integrity,"n. 正直, 廉正, 完整
[计] 完整性"
disintegrate,"vt. (使)分解, (使)碎裂
[医] 分解, 分裂, 蜕变"
elect,"adj. 选出的；当选的；卓越的
n. 被选的人；特殊阶层；上帝的选民
vt. 选举；选择；推选
vi. 作出选择；进行选举"
election,"n. 选举, 当选, 选择权
[法] 选举, 当选"
collect,abbr. collection 收藏; 征收; collective 集体的; collectively 全体的
collective,"a. 集体的, 聚集的, 共同的
[医] 集体的, 集合的"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
[计] 选定"
selection,"n. 选择, 选文, 精选品
[医] 选择, 淘汰"
delegate,"n. 代表
vt. 委派...为代表"
delegation,"n. 代表团, 派遣代表团, 代表的地位(或权力)
[经] 派遣, 委任, 委托"
elegant,"a. 优雅的, 端庄的, 高雅的"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
negligible,"a. 可以忽略的, 不足取的, 无用的
[医] 可不计的, 可忽视的"
intellect,"n. 智力, 出众的才华, 知识分子
[医] 智力, 才智"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
intelligence,"n. 智力, 情报, 信息
[医] 智力"
intelligent,"a. 聪明的, 智能的, 了解的"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
[计] 反射"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
[医] 能屈的"
flexibility,"n. 弹性, 适应性
[计] 灵活性; 适应性"
relation,"n. 关系, 联系, 叙述, 故事, 家属, 亲戚
[计] 关系"
relationship,"n. 关系, 关联
[医] 关系"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
correspond,"vi. 符合, 通信, 相当
[法] 符合, 一致, 相当"
response,"n. 反应, 回答, 响应
[计] 应答"
responsible,"a. 有责任的, 负责的, 责任重大的
[法] 应负责任的, 有责任的, 能履行责任的"
responsibility,"n. 责任, 职责, 负担, 可靠性
[化] 职责"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
[医] 自发的, 特发的, 自生的"
arrange,"v. 安排, 排列, 达成协议
[计] 重排"
arrangement,"n. 排列, 整齐, 安排
[计] 排列"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
[计] 量程; 范围; 域; 距离"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
[计] 秩"
consider,"v. 考虑, 思考, 认为"
considerable,"a. 相当的, 可观的, 重要的"
considerate,adj. 体谅的，体贴的，关切的；考虑周全的，周密的；[废语]谨慎的；深思熟虑的
consideration,"n. 考虑, 原因
[法] 考虑, 思考, 报酬"
