oppressive,"a. 压制性的, 压迫的, 沉重的"
shell,"abbr. (=she will [shall])
[网络] 她将"
skull,"n. 头盖骨, 头脑, 好学生
[医] 头颅"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
pile,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮
vi. 堆起, 堆积, 积累, 挤, 猛烈攻击
vt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑"
compile,"vt. 编译, 编辑, 编纂, 收集
[计] 编译"
accumulate,"v. 积聚, 堆积"
cumulative,"a. 累积的
[医] 蓄积的, 累积的"
tend,伸
tendency,"n. 趋向, 倾向
[医] 趋向, 趋势"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
tendon,"招待, 照料"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
contention,"n. 争论, 争辩, 所持的论点
[计] 争用"
extend,"v. 扩充, 延伸, 伸展, 扩大
[计] 扩展"
extended,"a. 延续的, 伸出的, 竭尽全力的, 广大的, 扩大范围的
[法] 展期的, 延期的, 延长的"
extensive,"a. 广的, 广泛的, 多方面的
[经] 广大的, 扩大的"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
[计] 扩展名, 扩充名"
extent,"n. 范围, 程度, 区域
[计] 范围"
intensive,"adj. 加强的；集中的；透彻的；加强语气的
n. 加强器"
intend,"vt. 计划, 打算, 意思是
[法] 想要, 打算, 意旨"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
intention,"n. 意图, 目的, 含义
[医] 愈合, 意向"
intentional,"a. 故意的, 与目的有关的
[法] 故意的, 有意的"
pretend,"v. 假装, 伪称, 自命, 自称"
pretentious,"a. 自负的, 自命不凡的, 夸耀的"
unpretentious,"a. 不铺张的, 不炫耀的, 不装模作样的, 不招摇的, 谦逊的, 质朴的"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
hypertension,"n. 高血压, 过度紧张
[医] 高血压, 血压过高, 张力过强, 压力过高"
intense,[网络] 紧张
intensify,"vt. 加强
vi. 强化"
intensity,[网络] 强度；亮度
tensile,"a. 可拉长的, 可伸长的, 张力的, 拉力的
[机] 拉的"
ostensibly,"adv. 可公开, 显然, 表面, 外表, 诡称, 假装"
ostentatious,"a. 装饰表面的, 铺张的, 夸示的, 华美的, 显眼的"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
speciality,"n. 专长, 擅长, 特种技能, 详细说明, 特性, 特产, 专业
[化] 特制品"
specific,"a. 特殊的, 特定的；明确的；详细的；[药] 具有特效的
n. 特性；细节；特效药"
specify,"vt. 详列, 指定, 说明
[计] 指定"
species,"n. 种, 类, 外形
[医] 茶剂; 种"
specimen,"n. 样品, 标本, 试料
[化] 试样"
arrange,"v. 安排, 排列, 达成协议
[计] 重排"
arrangement,"n. 排列, 整齐, 安排
[计] 排列"
rearrange,vt. 重新排列；重新整理
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
[计] 量程; 范围; 域; 距离"
ranger,"n. 王室守林人, 骑警, 漫游者"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
[计] 秩"
high-ranking,高级的
tailor,"n. 裁缝, 成衣匠
vt. 缝制, 制作, 使适应
vi. 做裁缝"
curtail,"vt. 缩减, 剥夺, 简略
[法] 剥夺特权"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
retailer,"n. 零售商人, 传播的人
[经] 零售商"
alumnus,"n. 男毕业生, 男校友"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
[计] DOS内部命令:该命令可将批处理参数向左移动一个位置"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
cram,"adj. 填鸭式学的
vi. 狼吞虎咽地吃东西；死记硬背功课
vt. 填满，塞满；死记硬背；猛吃
n. 死记硬背；极度拥挤
n. (Cram)人名；(英、德)克拉姆"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
ridge,"n. 脊, 山脊, 山脉
[医] 嵴, 脊, 棱线"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
entrepreneur,"n. 企业家, 主办人
[经] 承包商, 企业家"
grin,"n. 露齿笑
v. 露齿而笑"
harsh,"a. 粗糙的, 刺耳的, 严厉的
[法] 粗糙的, 严厉的, 苛刻的"
crest,"n. 冠, 饰毛, 头盔的顶部
vi. 到达绝顶
vt. 加以顶饰"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
[计] 散点图"
tumble,"n. 跌倒, 摔跤, 翻斤斗
vi. 翻倒, 摔倒, 倒塌, 滚动, 翻斤斗, 仓促地行动
vt. 使摔倒, 使滚翻, 弄乱"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
clatter,"n. 咔嗒声, 哗啦声, 嘈杂的谈笑声
vi. 发出哗啦声, 喧闹的谈笑
vt. 使咔嗒咔嗒地响"
hunch,"n. 肉峰, 预感, 大块
vt. 弯腰驼背, 预感到, 耸肩
vi. 向前移动, 隆起"
shuffle,"n. 拖着脚走, 曳步, 混乱, 蒙混, 洗纸牌
v. 拖曳, 马虎地做, 笨手笨脚地穿(脱)衣, 推诿, 洗牌
[计] 混洗"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
[计] 标志; 标注; DOS外部命令:用于建立改变或删除磁盘卷标号"
velvet,"n. 天鹅绒
a. 天鹅绒的"
chuckle,"n. 咯咯的笑声, 轻笑
vi. 咯咯的笑, 咕咕叫"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
aggression,"n. 侵犯, 侵略
[医] 攻击"
aggressive,"a. 侵略的, 挑畔的, 进取的
[法] 侵略的, 爱挑衅的, 行为过火的"
aggressor,"n. 侵略者, 挑畔者
[法] 侵略者, 攻击者"
congress,"n. 国会, 会议, 讨论会
[医] 会议, 会合"
congressman,"n. 国会议员, 众议院议员
[法] 国会议会"
ingredient,"n. 成分, 因素
[化] 配合剂; 拼料; 成分; 组分"
elect,"adj. 选出的；当选的；卓越的
n. 被选的人；特殊阶层；上帝的选民
vt. 选举；选择；推选
vi. 作出选择；进行选举"
election,n. 选举；当选；选择权；上帝的选拔
elector,"n. 有选举权的人, 选举人
[法] 有选举权者, 合格选举人"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
[医] 收集; 收集品, 标本"
collective,"a. 集体的, 聚集的, 共同的
[医] 集体的, 集合的"
collector,"n. 收集家, 收取款项的人
[化] 集电极; 捕收剂"
eclectic,"n. 折衷主义者
a. 选择的, 折衷的"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
recollect,v. 回忆，想起
recollection,"n. 重新收集, 重新集合"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
[计] 选定"
selection,"n. 选择, 选文, 精选品
[医] 选择, 淘汰"
selective,"a. 选择的, 选择性的
[经] 选择的, 选择性的"
elegant,"a. 优雅的, 端庄的, 高雅的"
elegance,"n. 高雅, 典雅, 优雅"
intellect,"n. 智力, 出众的才华, 知识分子
[医] 智力, 才智"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
intelligence,[网络] 智力；理解力；智能
intelligent,"a. 聪明的, 智能的, 了解的"
intelligible,"a. 可理解的, 易理解的, 纯概念性的"
unintelligible,"a. 无法了解的, 难解的, 莫明其妙的"
elite,"n. 精华, 精锐, 中坚分子"
lexis,"n. 词, 词汇"
lexical,"a. 字典的, 词汇的"
lexicography,n. 辞典编纂
delegate,"n. 代表
vt. 委派...为代表"
delegation,"n. 代表团, 派遣代表团, 代表的地位(或权力)
[经] 派遣, 委任, 委托"
relegate,"vt. 驱逐, 使降低地位, 把...归类, 把...委托给
[法] 流放, 判流放刑, 驱逐"
exhibition,"n. 表现, 展览会, 展览品
[医] 投药, 展览, 展出"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
prohibit,"vt. 禁止, 阻止
[经] 禁止"
prohibition,"n. 禁令, 禁止"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
incline,"n. 倾斜, 斜坡, 斜面
vt. 使倾向于, 使倾斜
vi. 倾向, 倾斜, 爱好, 易于"
inclination,"n. 倾向, 趋向, 倾斜度, 点头
[化] 倾角"
recline,"vt. 使斜靠
vi. 靠, 斜倚, 依赖"
band,[网络] B提供住宿及早餐；连接两个并列成份
bandage,"n. 绷带
[化] 帘布筒; 实心轮胎; 紧带; 绷带"
broadband,[电] 宽带
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
[计] 赋值, 绑定"
binder,"n. 捆缚者, 用以绑缚之物, 活页夹
[化] 粘结剂"
binding,"n. （书籍的）封皮；镶边；绲边；（滑雪板的）滑雪鞋固定装置
adj. 必须遵守的；有法律约束力的
v. “bind”的现在分词
[网络] 绑定；装订；系结"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
bondage,"骨龄, 键龄"
ribbon,"n. 缎带, 色带, 带状物
vt. 用丝带装饰, 把...撕成条状
vi. 形成带状
[计] 带状条, 格式栏"
bound,comb. 因某种情况而受阻的；开往…的，往…去的
boundary,"n. 边界, 分界线
[计] 边界"
boundless,"a. 无限的, 无边无际的
[经] 无限的"
bundle,"n. 捆, 束
vt. 包扎, 胡乱塞进
vi. 匆忙离开"
band,[网络] B提供住宿及早餐；连接两个并列成份
disband,"vt. 解散, 遣散
vi. 被解散"
local,abbr. low calorie 低卡路里
locate,"vt. 找出, 设于, 位于
vi. 定居"
location,[网络] 偏重于以区位
locality,"n. 地方, 所在, 位置
[法] 位置, 场所, 地区"
allocate,"vt. 分派, 分配
[计] 分配"
allocation,"n. 配置, 分配, 拨给
[经] 分配, 拨款, 分摊"
dislocate,"vt. 脱臼, 弄乱"
two,"num. 二, 二个"
twilight,"n. 暮光, 曙光, 黎明, 黄昏, 微光, 朦胧状态
a. 微明的"
twine,"n. 合股线, 麻线, 搓
v. 搓, (使)交织, 编饰, (使)缠绕"
entwine,"v. (使)缠住, (使)盘绕, (使)纠缠"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
motor,"n. 马达, 发动机, 原动力, 汽车
a. 马达的, 发动机的, 汽车的, 发动的
vt. 推动, 以汽车载运
vi. 乘汽车, 驾车"
motorway,汽车专用路，高速道路
emotion,"n. 情绪, 激动, 强烈的情感
[医] 情绪, 情感"
emotional,"a. 情绪的, 情感的
[医] 情绪的"
emotive,"a. 使感动的, 动感情的, 感情的
[医] 情绪的, 动感情的"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
motionless,"a. 不动的, 静止的
[机] 不动的, 静止的"
motive,"suf. 表示“动的”,“运动的”：locomotive"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
[经] 促动, 激发, 激励"
motivation,"n. 动机, 刺激, 推动
[医] 促动, 推动, 诱导"
motif,"n. 主题, 基调, 动机, 基本图案
[法] 主旨, 主题, 动机"
demote,"vt. 使降级, 使降职"
promote,"vt. 促进, 晋升, 创办, 推销
[经] 促进, 推广, 推销"
promotion,"n. 晋级, 创建, 增进
[经] 推广, 推销, 促进"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
[计] 远程, 远程访问实用程序"
automate,"vt.vi. (使)自动化
[计] 自动化"
automation,"n. 自动化, 自动操作
[计] 自动学; 自动化"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
mobile,[网络] -移动
mobility,"n. 可动性, 流动性, 机动性
[化] 迁移率"
mobilize,"vt. 动员, 调动, 使流通
vi. 动员"
demobilize,"vt. 使复员, 使退伍, 遣散"
automobile,n. 汽车
immobile,"a. 不动的, 不变的, 固定的, 静止的"
mob,"n. 暴民, 民众, 暴徒
vt. 大举包围, 蜂拥进入, 围攻
vi. 聚众生事"
depend,"vi. 靠, 视...而定, 信赖"
dependant,"n. 家眷, 侍从, 食客
[法] 受赡养人, 家庭负担"
dependent,"adj. 取决于；依靠的；依赖的；有瘾的
n. 受赡养者；扈从；依存[从属]物
[网络] 从属的；因变量"
dependence,"n. 依赖, 依存, 信赖
[医] 依赖(如对药物的依赖,即瘾或癖), 从属, 偏利共生"
independent,"adj. 独立的；自主的；自治的；不相干的人所做的（或提供的）
n. 无党派议员（或候选人等）
[网络] 有主见的；独立报；独立自主的"
independence,"n. 独立, 自立, 自主
[医] 自主性, 独立性"
interdependent,[网络] 依赖的；互相依存的；相互依存
fury,"n. 愤怒, 狂暴, 狂怒的人
[医] 狂乱, 狂暴, 狂怒"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行
n. (Rage)人名；(丹)拉厄"
furious,"a. 狂怒的, 激烈的, 吵闹的"
infuriate,"a. 狂怒的
vt. 激怒"
enrage,"vt. 激怒, 使暴怒"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
outrageous,"a. 暴虐的, 极无礼的, 可恶的"
gourmet,n. 美食家
clan,"n. 氏族, 宗族, 集团
[医] 支"
asset,"n. 资产, 有益的东西"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
costume,"n. 装束, 服装"
hog,"n. 猪, 贪婪者, 象猪般的人
v. (使)拱起"
hoggish,"a. 猪一般的, 利己的, 贪婪的"
yacht,"n. 快艇, 游艇
vi. 驾游艇, 乘游艇"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
[经] 兴旺, 繁荣, 旺盛"
pilgrim,"n. 旅行者, 朝圣者, 香客
vi. 朝圣"
pamphlet,"n. 小册子, 活页文选"
metaphor,n. 隐喻
decree,"n. 法令, 判决, 天意
vt. 颁布, 判决
vi. 发布命令"
boulevard,n. 林荫大道
dispatch,"vt. 派遣
n. 派遣, 急件
[计] 调度"
perch,"n. 栖木, 高位, 杆, 河鲈
v. (使)栖息, 就位, 位于, (使)暂歇"
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
relic,"n. 遗物, 遗迹, 纪念物, 遗风, 残留物"
shrug,"n. 耸肩
v. 耸肩"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
[计] 束"
syntax,"n. 句法, 语法, 句子构造
[计] 句法, 语法"
puff,"n. 一阵喷烟, 肿块, 喘息
v. 喷出, 张开, 吹捧, (使)充气, 喘气, (使)骄傲, (使)膨胀"
bewilder,"vt. 使迷惑, 使不知所措"
toil,"n. 辛苦, 苦工, 网, 罗网, 圈套
vi. 苦干, 跋涉"
lest,[网络] 东方；东部
bastion,"n. 棱堡, 阵地工事"
bazaar,n. (东方国家的)市场，集市，街市；(尤指出售花哨小玩艺儿、华丽衣物等的)百货商店，杂货铺；市场[亦作 bazar]；(通常为俱乐部、教堂等筹款的)义卖；义卖市场；义卖展销
boutique,n. 专卖流行衣服的小商店
chivalry,"n. 骑士精神, 骑士制度"
covet,"v. 妄想, 垂涎"
enhance,"vt. 提高, 加强, 增加"
feud,"n. 不和, 封地, 争执
vi. 长期不和, 擦亮"
form," 表示：具有...形状：dentiform,有...种形式：triform"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
conformity,"n. 遵照, 适合, 一致, 相似
[计] 符合度"
deform,"vt. 使残缺, 使变形
vi. 变形"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
formality,"n. 礼节, 拘谨, 正式手续
[化] 克式浓度"
formalize,"vt. 使正式, 使整形, 形式化
vi. 拘泥于形式"
informal,[网络] 不正规教育；非正式语体；形式的
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
[计] 格式; DOS外部命令:对磁盘进行格式化"
formation,"n. 形成, 构造, 编队
[医] 形成, 结构"
formative,"a. 有助于形成的, 造型的, 形成的
n. 构词要素"
formula,"n. 客套语, 公式, 准则
[计] 公式"
formulate,"vt. 用公式表示, 明确叙述, 制订
[机] 公式化, 公式表示"
formulation,"n. 系统陈述, 公式化, 配制
[化] 表述; 数学表述; 数式化; 数学表述"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
[法] 讨论会, 专题讨论, 公共论坛"
reform,"v. 再作；改编(军队等)；(飞机在攻击后)重新编队
[网络] 扣帐"
reformer,n. 改革家；改革运动者；改良者
transform,[化] 反式; 反式异构体
transformation,n. [遗] 转化；转换；改革；变形
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
[计] 合并"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emergent,"a. 紧急的, 浮现的, 出现的, 自然发生的
[医] 紧急的, 意外的"
emergence,"n. 出现, 浮现, 发生"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
[化] 紧急情况"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
immerse,"vt. 沉浸, 使陷入
[医] 浸[入]"
command,[网络] 命令
commandant,n. 司令官
commander,n. 指挥官；司令官
commandment,n. 戒律
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
demanding,"a. 要求高的, 费力的"
mandate,"n. 授权；命令, 指令；委托管理；受命进行的工作
vt. 授权；托管"
mandatory,"a. 命令的, 托管的
[经] 受托者, 命令者"
migrate,"vi. 移动, 移往, 随季节而移居
[计] 迁移程序"
migration,"n. 移民, 移往, 移动
[计] 迁移"
immigrate,"vt. 使移居入境
vi. 移入"
immigration,"n. 移民, 移居
[医] 移民"
emigrate,"v. (使)移居, (使)移民"
emigration,"n. 移民, 移居外国(或外地)
[医] 血细胞渗出"
migrant,"n. 候鸟, 移居者
[法] 移居者"
immigrant,"n. 移民
a. 移入的, 移民的"
emigrant,"n. 移民, 侨民
a. 移民的, 移居的"
in, 很多人参加的活动
out,"a. 外面的, 熄灭的, 结束的
adv. 在外, 熄灭, 出现
prep. 出自, 离去, 向"
inner,"a. 内部的, 内心的
n. 内部"
outer,"a. 外部的, 外面的, 在外的, 远离中心的
[机] 外部的, 外面的, 外侧的"
innermost,"a. 内心的, 秘密的, 最深处的"
outermost,"a. 最外面的, 最远离中心的"
inward,"a. 内心的, 向内的, 本来的
[医] 向内的"
outward,[网络] 中心向外
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
exterior,"n. 外部, 表面, 外貌
a. 外部的, 外在的, 表面的"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
intimacy,"n. 亲密, 熟悉, 亲昵行为(言语)
[法] 亲近的行为, 亲密, 隐私"
extreme,"adj. 极端的；极度的；偏激的；尽头的
n. 极端；末端；最大程度；极端的事物"
extremely,"adv. 极端地, 非常地"
extremism,"n. 极端倾向, 极端论, 过激主义"
extremist,[经] 偏激份子
extremity,"n. 极端, 极点, 困境, 绝境
[医] 肢, 端"
extremities,n. 端点( extremity的名词复数 ); 尽头; 手和足; 极窘迫的境地
internal,"a. 内在的, 国内的
[医] 内的, 内部的"
intern,"n. 实习生，实习医师
vt. 拘留，软禁
vi. 作实习医师"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
extraneous,"a. 外来的, 非必要的, 无关的
[医] 体外的"
pardon,
donate,v. 捐赠
donation,"n. 捐赠物, 捐款, 捐赠
[经] 赠品, 捐款, 捐赠"
donator,"n. 捐赠人
[化] 给体; 供体"
donor,"n. 捐赠人
[化] 给体; 供体"
endow,"vt. 捐赠, 捐助, 赋予
[法] 赠送财产给, 分给寡妇一份遗产, 授与"
dowager,"n. 继承遗产或爵位的寡妇
[法] 受有亡失遗产的寡, 妇寡君贵妇人"
dowry,[网络] 陶里
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
dosage,"n. 剂量, 用量, 配药
[医] 剂量"
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母
n. (Letter)人名；(英)莱特"
newsletter,业务通讯
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
[计] 文字; 直接量; 字面量; 句节"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
literacy,"n. 读写能力, 识字, 精通文学"
illiteracy,"n. 文盲, 无知"
literate,"n. 学者
a. 有读写能力的, 精通文学的, 受过教育的"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
obliterate,"vt. 擦去, 冲刷(掉), 消灭, 忘掉, 盖销(邮票等)
[法] 灭迹, 消灭, 涂抹"
literary,"a. 文学的, 文艺的, 精通文学的
[法] 文学的, 从事文学的, 从事写作的"
literature,"n. 文学, 文艺, 著作
[经] 广告, 商品介绍等文学"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
amoral,"a. 不属于道德范畴的, 无从区分是非的"
immoral,"a. 不道德的, 邪恶的, 放荡的
[法] 不道德的, 道德败坏的, 邪恶的"
morality,"n. 道德, 教训, 品行
[法] 道德, 道义"
morale,"n. 士气, 道德"
