alter,v. 改变
agricultural,"a. 农业的
[法] 农业的, 耕作的"
bleed,"vi. 流血, 悲痛, 渗出
vt. 使出血, 榨取"
heavily,"adv. 很重地, 严重地, 难以忍受地"
site,"n. 网站；站点；现场；位置
v. 使坐落在；为…选址
[网络] 场所；地点；场地"
maid,"n. 少女, 未婚女子, 女仆"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
[计] 折叠"
villager,n. 村民
hundreds of ...,"几百..., 许许多多..."
empire,"n. 帝国, 帝权"
consist,"vi. 组成, 存在于, 一致"
Roman,"n. 罗马人
a. 罗马人的, 罗马的"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
differ,"vi. 不一致, 不同
[机] 差异, 不同"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者
n. (Liberal)人名；(葡)利贝拉尔"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
[计] 展开; DOS外部命令:将原始DOS磁盘上的压缩文件解压缩并拷贝到硬盘上"
capacity,"n. 容量, 能力, 才能, 资格
[计] 容量"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
nearby,"在…附近,接近,靠近"
shortly,"adv. 不久, 简短, 唐突地"
extend,"v. 扩充, 延伸, 伸展, 扩大
[计] 扩展"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
for another three years,无
popularity,"n. 名声, 受大众欢迎, 流行"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
urgent,"a. 紧急的, 急迫的, 催逼的
[经] 紧急的, 急迫的"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
wilderness,"n. 荒野, 荒地, 大量"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
[法] 严厉的, 苛刻的, 严重的"
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
cattle,"n. 牛, 家畜
[法] 家畜"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
resemble,"vt. 相似, 类似"
restore,[网络] 再储藏；恢复
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
make a living,"谋生, 挣钱度日, 维持生活"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
[经] 保留, 留存"
youthful,"a. 年轻的, 青年的
[法] 青年的, 年轻的"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
youngster,"n. 小孩, 年轻人, 少年
[法] 儿童, 少年, 青年"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
[计] 散点图"
hiding,"n. 隐匿, 隐藏之事, 隐匿之所, 痛打
[法] 躲藏, 躲藏处"
in search of,寻找
hostess,"n. 女主人, 女房东, 女老板"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
starve,"v. (使)饿死, (使)挨饿"
disaster,n. 灾难，灾祸；不幸
detective,"n. 侦探
a. 侦探的"
vanish,"vi. 消失, 不见, 成为零"
criticism,"n. 批评, 评论, 非难
[法] 批判, 批评, 评论"
obviously,"adv. 显而易见地, 明显地"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
frankly,adv. 坦白地
investment,"n. 投资
[医] 包埋料, 围模料, 包埋法, 围模法"
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
liar,n. 说谎者
remarkable,"a. 不平常的, 值得注意的, 显著的"
amaze,vt. 使吃惊
amuse,"vt. 消遣, 娱乐, 使发笑"
elderly,"a. 过了中年的, 稍老的"
nursing,"n. 看护, 养育
[医] 护理[法], 喂乳[法]"
apologize,"vi. 道歉, 辩解"
unkind,"a. 不仁慈的, 不亲切的"
assert,"vt. 主张, 坚称, 断言
[法] 宣称, 断言, 维护"
mistress,"n. 主妇, 女主人, 情妇"
messenger,"n. 报信者, 使者
[经] 使者, 送信者, 通信员"
assure,"vt. 保证, 使确信, 弄清楚, 担保
[法] 确信, 保证, 保障"
betray,"vt. 出卖, 背叛, 辜负, 暴露
[法] 出卖, 背叛, 泄漏"
unlikely,a. 不太可能的
achievement,"n. 完成, 成就, 功业"
constantly,"adv. 不变地, 不断地, 时常地"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
reputation,"n. 名誉, 名声, 声望
[法] 名声, 名誉, 公认证据"
honesty,"n. 诚实, 公正, 正直"
exam,"n. 考试, 测验"
command,[网络] 命令
departure,"n. 离开, 出发, 违背, 偏离
[经] 启运"
confess,"v. 承认, 坦白, 忏悔, 供认"
crossing,"n. 横越, 横渡, 交叉点, 渡口
[经] 划线"
administration,"n. 行政, 管理, 政府机关
[化] 给药"
congress,"n. 国会, 会议, 讨论会
[医] 会议, 会合"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
[计] 冲突"
budget,adj. 预算的；与形容词；像'low'和'big'连用形成形容词指花费多少钱的尤指拍电影的预算；comb
convince,"vt. 说服, 使相信
[法] 使确信, 使信服, 使人认识错误"
regularly,"adv. 有规则地, 一丝不苟地, 正式地"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
complicated,"a. 复杂的
[医] 并发的"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
deceive,"v. 欺骗, 行骗"
jewelry,"n. 珠宝, 珠宝类"
declare,"v. 宣布, 声明, 申报, 断言"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
