alter,"v. 更改；修改（衣服使更合身）
[网络] 改变；变更；改动"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
complicated,"a. 复杂的
[医] 并发的"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
deceive,"v. 欺骗, 行骗"
jewelry,"n. 珠宝, 珠宝类"
declare,"v. 宣布, 声明, 申报, 断言"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
timely,"a. 及时的, 适时的
adv. 及时地"
enterprise,"n. 企业, 事业心, 进取心, 干事业
[计] 企业"
apparently,"adv. 表面上, 清楚地, 显然地"
discourage,"vt. 使气馁, 阻碍"
encounter,"vt. 遭遇, 邂逅；遇到
n. 遭遇, 偶然碰见
vi. 遭遇；偶然相遇"
honeymoon,"n. 蜜月, 蜜月假期
vi. 渡蜜月"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
ask ... out on a date,无
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
poster,"n. 海报, 招贴, 驿马"
dealer,"n. 经销商, 商人
[经] 交易员, 贩卖商"
instruct,"vt. 教, 教育, 命令, 通知
[法] 托办, 指导, 指示"
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
behavior,"n. 行为, 举止
[医] 行为"
childish,"a. 天真的, 孩子气的"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
bodyguard,"n. 保镖, 护卫"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
cooperation,"cooperation
[kəu,ɔpə'reiʃən]
n.
合作，协作；配合
【经济学】合作社；合作团体
【生态学】(有机体间的)互助[亦作 co-operation]"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
[计] 注释"
ban,"n. 禁令
vt. 禁止, 取缔"
via,"prep. 取道，通过；经由
n. (Via)人名；(意、孟)维亚"
Southeast Asia,[网络] 东南亚；东南亚州酒店；东南亚村
scold,"n. 好骂街的人, 责骂
v. 责骂"
secretly,"adv. 秘密地, 背地里"
strongly,"adv. 强有力地, 坚强地, 激烈地"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
opposition,"n. 反对, 敌对, 相反, 在野党
[医] 对生, 对向, 反抗, 反对症"
amazing,a. 令人惊异的
wink,"n. 眨眼, 使眼色, 瞬间
vi. 眨眼, 使眼色, 闪烁
vt. 眨"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
[医] 吸收"
existing,"a. 存在的, 目前的, 现存的, 现有的
[计] 现成的, 已有的, 现存的"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
occasionally,"adv. 有时候, 偶而"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
slipper,"n. 拖鞋, 制轮器
vt. 用拖鞋打"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
[医] 疾患, 病变, 病; 感情"
chop,"n. 肋条肉, 排骨, 砍, 戳记, 商标
vt. 剁碎, 砍, 切击, 割断
vi. 砍, 突然转向"
stew,"n. 炖, 烦恼, 热浴, 妓院, 鱼塘
vi. 炖, 焖, 忧虑
vt. 炖, 焖, 使焦虑"
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
mayor,[地名] 马约河 ( 阿根、秘 )
clip,"n. 修剪, 夹子, 回形针, 剪下来的东西
vt. 修剪, 痛打, 夹牢, 剪报
vi. 剪报"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
desirable,"a. 令人想望的, 可取的"
crawl,"n. 爬行, 匍匐而行, 养鱼池
v. 爬行"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
outer,"a. 外部的, 外面的, 在外的, 远离中心的
[机] 外部的, 外面的, 外侧的"
dash,"n. 冲撞, 破折号, 短跑
vi. 猛冲, 冲撞
vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧"
coward,"n. 懦弱的人, 胆小的人"
railroad crossing, = level crossing
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
briefly,"adv. 简短地, 扼要地, 简明地, 简单地"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
heroic,"a. 英勇的, 英雄式的, 壮丽雄伟的
n. 英雄诗, 史诗, 英勇行为"
in a attempt to do,无
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
[计] 拖动"
tractor,"n. 牵引器, 拖拉机, 拉纸器
[计] 进纸器"
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
[计] 折叠; 合并"
linen,"n. 亚麻布, 亚麻线, 亚麻制品
a. 亚麻布制的, 亚麻的"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
bloody,"adj. 血腥的；非常的；嗜杀的，残忍的；血色的
vt. 使流血
adv. 很"
sword,[网络] 英语常用同义词辨析；熟人就出声
puppy,"n. 小狗, 小动物, 自负的年轻人"
hop,"n. 啤酒花；单足短距离跳跃；（动物或鸟的）齐足（或双足）短距离跳跃
v. 单脚跳行；齐足（或双足）跳行；突然快速去某处
[网络] 拯救小兔；单足跳；忽布"
meadow,"n. 草地, 牧场"
kneel,[地名] 尼湖 ( 加 )
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
[计] 无聊邮件, 无益邮件"
inn,"n. 客栈；旅馆
vi. 住旅馆
n. (Inn)人名；(柬)因"
nap,"n. 小睡, 稍睡, 细毛, 孤注一掷
vi. 小睡, 疏忽
vt. 使拉毛, 打盹度过, 预测...为获胜马"
recommendation,"n. 推荐, 介绍, 推荐信, 劝告
[经] 建议书"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
[计] 孔距"
pronounce,"v. 发音, 宣告, 断言"
correctly,"adv. 对, 正确, 恰当, 符合一般性准则, 符合行为准则, 端正, 符合"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
[计] 擦除"
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
[法] 追捕, 追求"
seize,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握
vi. 突然抓住, 利用"
cheerleader,n. 啦啦队长
sew,"vt. 缝纫, 缝合, 缝
vi. 缝纫"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
[计] 跳过"
sidewalk,un. 人行道
snap,"adv. 突然
v. （使咔嚓）断裂；移到某位置；厉声说；怒气冲冲地说
n. （尤指关上或断裂的声音）啪嗒声；（尤指抢拍的）照片
abbr. (=systems for nuclear auxiliary power)核辅助动力系统
adj. 匆忙的；仓促的
int. （在“对儿”牌游戏中出现同样的牌时喊的）对儿
[网络] 捕捉；猛咬；快照"
translation,"n. 翻译, 译文, 转化, 调任, 平移, 转译
[计] 转换"
spill,"n. 溢出, 溅出, 摔下, 溢出量, 木片, 小塞子
vt. 使溢出, 使散落, 洒, 使流出, 倒出, 使摔下
vi. 溢出, 涌流, 摔下"
bitterly,"adv. 怨恨地, 悲痛地, 残酷地"
squeeze,"v. 挤压；挤出；捏；（使）挤入
n. 挤压；塞；捏；榨出的液体
[网络] 压榨；榨取；紧缩"
scarcely,"adv. 简直不, 一定不, 仅仅"
spoonful,"n. 一匙
[医] 一匙, 匙"
ginger,"n. 姜, 精力, 姜黄色
a. 姜黄色的
vt. 用姜调味, 使活泼, 使有生气"
stir,"n. 骚动, 轰动, 搅动, 监狱
vt. 移动, 摇动, 激起, 惹起, 搅拌
vi. 走动, 传播, 搅拌"
a spoonful of ...,无
athletic,a. 运动的
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
awfully,"adv. 恶劣地, 非常地, 极端地"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
knight,"n. 骑士, 爵士
vt. 授以爵位"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
weave,"n. 编法, 织法, 编织式样
vt. 编织, 组合, 编排, 使迂回前进
vi. 纺织, 迂回行进"
dragon,"n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
n. (Dragon)人名；(匈)德劳贡；(英、法、芬、罗、匈)德拉贡"
whip,"n. 鞭子；【无线】鞭状天线；投票指示；(某党)议员领袖
v. 鞭打；鞭笞；〈口〉击败；抽打
[网络] 薇普；搅打；皮鞭"
barely,adv. 几乎不
competitor,"n. 竞争者
[经] 竞争者, 竞争对手"
cute,"a. 可爱的, 聪明的, 伶俐的
[医] 品他病"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
incident,"adj. 【法】附带的；入射的；易起的；附随的
n. 发生的事情（尤指不寻常的或讨厌的）；严重事件；（两国间的）摩擦
[网络] 事变；事故；小事件"
accomplish,"vt. 完成, 达到, 实现, 使完美"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
council,"n. 会议, 委员会
[经] 委员会"
acquire,"vt. 获得, 学到
[电] 目标锁定"
regarding,prep. 关于
physician,"n. 医师, 内科医师, 解除痛苦者
[医] 主治医师"
adapt,"vt. 使适应, 改编
vi. 适应"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
increasingly,"adv. 逐渐地, 渐增地"
enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
analyze,"vt. 分析, 细察, 分解
[机] 分析"
finding,"n. 发现, 发现物, 决定, 裁决
[法] 调查结果, 对事实的认定, 判定的要素"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
concerning,"prep. 关于
[法] 关于"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
[计] 关联"
electrical,"a. 电的, 有关电的
[医] 电的"
invention,"n. 发明, 创作能力, 虚构的故事
[经] 发明"
await,"vt. 等候
vi. 等待着"
attraction,"n. 吸引, 吸引人的事物, 吸引力
[医] 吸引"
blend,"vt. 混合
n. 混合"
poisonous,"a. 有毒的, 恶毒的, 讨厌的
[医] 有毒的"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
[医] 致命的, 致死的"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
[计] 截获命令"
halfway,"a. 中途的, 不彻底的, 部分的
adv. 半路地, 在中途, 在半途"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
[计] 人工的, 手动的"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
[计] 维护; 维修"
illustration,"n. 例证, 插图
[化] 插图"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
[法] 犯, 做, 把...交托给"
poverty,"n. 贫穷, 贫困, 缺乏
[医] 贫乏, 缺乏"
despair,"n. 绝望, 失望
vi. 绝望"
compete,"vi. 竞争, 对抗"
determination,"n. 决心, 果断
[化] 判定; 测定"
the Olympics,[网络] 奥运会；奥林匹克运动会；奥运风采
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
task,"n. 工作, 任务, 作业, 困难的工作
vt. 派给...工作, 使辛劳
[计] 任务"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
harsh,"a. 粗糙的, 刺耳的, 严厉的
[法] 粗糙的, 严厉的, 苛刻的"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
scenery,"n. 风景, 景色, 舞台布景"
decorate,v. 装饰
lace,"n. 花边；鞋带；饰带；少量烈酒
vt. 饰以花边；结带子
vi. 系带子
n. (Lace)人名；(意)拉切"
demonstrate,"vt. 示范, 证明
vi. 示威"
extraordinary,"a. 非常的, 特别的, 非凡的
[经] 非常的, 特别的, 临时的"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
destination,"n. 目的地, 目标, 目的
[计] 目的文件, 目的单元"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
bonus,"n. 奖金, 红利
[经] 奖金, 红利, 额外补贴"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
quantity,"n. 量, 数量, 总量
[计] 数量; 量"
distribute,"vt. 分配, 散布, 分发
[经] 分配, 分发"
large quantities of ...,大量...
emphasize,"vt. 强调, 加强语气, 着重"
profitable,"a. 有利润的, 有利益的, 赚钱的
[经] 有利(可图)的, 合算的"
enable,"vt. 使能够
[计] 允许, 使能, 打开"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
packet,"n. 数据包；小硬纸板盒；（邮政）小件包裹；（塑料或纸质）密封小袋
v. 把…做成包裹；用邮船运送
[网络] 包包"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
[计] 仍能工作, 继续工作"
shortage,"n. 不足, 缺乏
[化] 缺额"
actively,"adv. 活跃地, 积极地"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
millionaire,"n. 百万富翁, 大富豪
[经] 大资本家, 巨富, 百万富翁"
proudly,"adv. 傲慢地, 自大地, 得意洋洋地"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
[医] 暴露, 露置"
stormy,"a. 暴风雨的, 粗暴的, 激烈的"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
parliament,"n. 国会, 议会
[法] 会议, 国会, 议院"
legislation,"n. 立法, 法律
[医] 立法, 法规"
govern,"v. 统治, 支配, 管理"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
indicate,"vt. 显示, 象征, 指示, 指出
[医] 指示"
efficient,"comb.form 表示“效率高的”,“充分利用的”：cost-efficient,energy-efficient"
conventional,"a. 传统的, 习惯的, 约定的
[经] 惯例的, 常规的, 传统的"
treatment,"n. 治疗；处理；待遇；疗法
[网络] 其名词为；性病特别的名称；患者的依从性"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
lodge,"n. 小屋, 门房, 支部, 旅舍, 分会
vi. 临时住宿, 倒伏, 寄宿, 投宿
vt. 安顿, 容纳, 提出, 把...射入, 存放"
injure,"vt. 伤害, 损害, 使受冤屈
[医] 损伤"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
institute,"vt. 开始（调查）；制定；创立；提起（诉讼）
n. 学会，协会；学院"
wildlife,n.  野生动物<br />a.  野生动植物的
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
[医] 居住区; 沉渣"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
[医] 干扰, 干涉, 阻碍, 碰腿(马)"
negotiation,"n. 谈判, 磋商, 交涉
[经] 谈判, 协商"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
[法] 强入, 侵犯, 侵略"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
[法] 权宜处置权, 决定权, 宽恕"
nowadays,"n. 现在, 现时, 当今
adv. 时下, 现今"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
be afraid to do,"na. 怕
[网络] 害怕做某事；不敢；胆怯去做某事"
investigate,"v. 调查, 审查"
explosion,"n. 爆发, 激增, 爆炸(声)
[化] 爆炸"
terror,"n. 恐怖, 可怕的人
[医] 惊吓, 惊悸"
absolutely,"adv. 完全地, 绝对地, 确确实实地"
personally,"adv. 亲自地, 个别地, 当面, 就本人而言, 针对个人地"
involve,"vt. 包括, 使陷于, 潜心于, 包围
[医] 累及, 牵涉, 包含"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
[法] 丑事, 丑闻, 干丑事的人"
kidnap,"vt. 绑架, 诱拐, 拐骗
[法] 拐带, 诱拐, 绑架"
willingly,"adv. 自动地, 欣然地"
run away from,逃避
sensation,"n. 感觉, 轰动
[医] 感觉"
locate,"vt. 找出, 设于, 位于
vi. 定居"
tomb,"n. 坟墓, 死亡
vt. 埋葬"
skillful,"a. 熟练的, 巧妙的
[机] 熟练的"
mend,"n. 改进, 修补, 好转
vt. 修改, 改进, 加快, 修理
vi. 好转, 改善"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
luckily,"adv. 幸运地, 幸亏, 侥幸"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
organize,"vt. 组织, 有机化, 给予生机
vi. 组织起来"
scholarship,"n. 学问, 学术成就, 奖学金"
classical,"a. 古典的, 正统派的, 经典的
[医] 古典的; 标准的, 典型的"
confident,"a. 有信心的, 有把握的"
eventually,"adv. 最后, 终于"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
[计] 当前的"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
preparation,"n. 准备, 预备, 预习
[化] 制剂"
advertisement,"n. 广告, 启事, 广告宣传
[法] 广告, 公告, 告示"
association,"n. 协会
[计] 关联"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
historical,"a. 历史的, 史实的, 历史上的
[法] 历史性的"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
[法] 所得, 收入, 收益"
construction,"n. 建筑, 构造, 建筑物
[化] 施工"
amusement,"n. 兴味, 娱乐, 消遣
[法] 娱乐, 娱乐活动"
prolong,"vt. 延长, 拖延, 拖长
[化] 冷凝管"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
[经] 占有, 占用, 职业"
region,"n. 区域；行政区；（一国除首都以外的）全部地区
[网络] 面域；磁各向异性效应"
