fabled,"a. 寓言(或传说、神话)中的, 虚构的"
ensconce,"vt. 安顿下来, 安置, 使隐藏"
dainty,a. 秀丽的；美味的；讲究的；挑剔的
scalloped,有圆齿的
marigold,"n. 万寿菊, 金盏花
[医] 金盏花"
spice,"n. 香料, 药料, 香气, 调味品, 情趣, 少许
vt. 加香料, 使添趣味"
bun,[计] CakeWalk 声音捆绑文件（一种MIDI程序）
rock-cake,n. 岩皮饼（一种表面粗硬的糕饼）
bakery,n. 面包店
mayonnaise,n. 蛋黄酱
pickle,"n. 盐卤, 腌汁, 泡菜, 困境, 讨厌鬼
vt. 腌制, 酸洗, 葬送(机会等), 泡"
dill,"n. [园艺] 莳萝；莳萝的种子
n. (Dill)人名；(英、法、德)迪尔"
fuzz,"n. 细毛, 绒毛, 警察
vi. 作绒毛状飞散, 变成绒毛状
vt. 起毛, 使模糊"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
tin,"保持,握,容纳"
washcloth,"n. 毛巾, 浴巾"
dampen,"vt. 弄湿, 使沮丧
vi. 变湿, 丧气"
rosewater,"玫瑰香水, 温和的话语行为
[医] 玫瑰水"
glycerine,"n. 甘油, 丙三醇
[化] 甘油"
umpteenth,a. <口>第无数次(个)的
avow,"vt. 坦率承认, 断言
[法] 公开宣称, 声明, 供认"
measly,"a. 患麻疹的
[医] 米珠的, 含囊尾蚴的"
fleabag,"na. 睡袋；床铺；生蚤的动物；邋遢的老妇人
[网络] 露宿用睡袋"
real estate,"不动产
[经] 不动产, 房地产"
squint,"n. 斜视眼, 斜着
a. 斜视的
vt. 使变斜视眼
vi. 斜视, 倾向, 斜行"
auditorium,"n. 听众席, 礼堂
[医] 大讲堂, 大会堂"
let out,[网络] 阿尔都塞思想的全部整体
bring about,"na. 造成；带来；【航】(使船)回转
[网络] 引起；导致；产生"
dilated,a. 扩大的；加宽的；膨胀的
corolla,"n. 花冠
[医] 卵冠; 花冠"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
travesty,"n. 拙劣的模仿作品, 嘲弄, 滑稽模仿
vt. 滑稽地模仿, 歪曲"
caravan,"n. 旅行队, 有篷顶的大车
[经] 商队, 结队商贩"
decree,"n. 法令, 判决, 天意
vt. 颁布, 判决
vi. 发布命令"
flair,"n. 鉴别力, 才能, 天资, 资质, 眼光"
cool off,"变凉, 平静下来"
vanilla,"n. 香草, 香子兰"
soda fountain,冷饮柜
corded,a. 用(细)绳子捆扎的
crisp,"a. 脆的, 新鲜的, 活泼的
v. (使)烘脆, (使)拳曲, (使)起皱
n. 松脆物"
pinafored,"(pinafore 的过去时) n. 围巾, 围裙, 围涎"
mottled,"a. 杂色的, 斑驳的
[医] 斑色的, 斑状的"
marble,"n. 大理石, 石弹, 雕刻品
a. 大理石的, 冷酷无情的, 有大理石花纹的"
indignant,"a. 愤怒的, 愤慨的"
outraged,"a. 义愤填膺的；愤慨的, 气愤的"
anticipate,"vt. 预期, 占先, 加速, 提前使用
[医] 提前出现, 先期发生"
copybook,"n. 字帖；习字簿
a. 陈腐的"
stoically,adv. 坚忍地；恬淡寡欲地
dissuade,"vt. 劝阻
[法] 劝阻, 劝止"
forcibly,"adv. 强制地, 用力地"
repressed,"a. 被镇压的, 受约束的, 被抑制的"
maniacal,"a. 躁狂的, 狂乱的, 狂热的, 疯狂的
[医] 躁狂的"
mustiness,"n. 霉臭, 陈腐, 无力气"
mothball,"n. 樟脑丸
[网络] 卫生球；防蛀虫的臭蛋"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
scent,爬
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
[计] 接头"
kowtow,"vi. 叩头；卑躬屈膝
n. 叩头"
chant,"n. 圣歌, 赞美诗
v. 吟唱, 诵扬"
ideograph,n. 表意文字
painstakingly,adv. 煞费苦心地；费力地
blotch,"n. 大斑点, 污斑, 疹块
[医] 污点, 斑点"
multiplication table,[计] 乘法表
disassociate,"vt. 使分离（过去式disassociated, 过去分词disassociated, 现在分词disassociating, 第三人称单数disassociates, 名词disassociation）"
nagging,"a. 唠叨的, 责备挑剔的"
outshout,[网络] 大喊大叫
vendor,"n. 小贩, 卖主, 自动售货机
[计] 计算机销售商"
raunchy,"a. 不整洁的, 不修边幅的, 肮脏的, 淫秽的"
lilt,"v. 唱轻快的调子, 轻快地动
n. 轻快活泼的调子, 轻快的动作"
refinement,"n. 精致, 高尚, 精巧
[医] 精制, 精练"
chaotic,"a. 混乱的, 无秩序的
[法] 混乱的, 混沌的"
frenzied,"a. 狂热的, 狂乱的, 激怒的"
gibberish,"n. 快而不清的语, 胡扯"
cluck,"n. 咯咯的叫声
v. 咯咯叫"
fanatical,"a. 狂热的, 盲信的"
pidgin,"n. 混杂语言, 混杂行话, 事务"
smattering,"n. 肤浅的知识, 一知半解的知识, 片断的知识, 少数, 少量"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
[计] 散点图"
chop suey,n. （中餐）炒杂碎
trip over,在…跌
infuriate,"a. 狂怒的
vt. 激怒"
corner,"n. 角落, 转角, 窘境
vt. 迫至一隅, 垄断, 使陷入绝境
vi. 相交成角, 垄断
[计] 边角"
consonant,"n. 辅音
a. 一致的, 调和的"
divorce,[网络] 离婚
taco,n. 墨西哥煎玉米卷；[美俚]墨西哥人
sodden,"adj. 浸透的；浑身湿透的；浸过酒的
vt. 使浸透；使迷糊"
condemned,"a. 已被定罪的, 定了罪的人用的"
plank,"n. 厚木板, 支架, 木板制品, 冲浪板, 救急物, 政纲条目
vt. 在...上铺板, 撂下, 立即付款"
squat,"n. 蹲, 窝
a. 蹲着的, 矮胖的
vi. 蹲下, 蹲坐, 蹲伏
vt. 使蹲下, 擅自占有"
drape,"n. 布帘, 褶皱
vt. 用布帘覆盖, 披上
vi. 成褶皱状"
puny,"a. 微小的, 弱小的, 微不足道的"
wisp,"n. 小把, 小物体, 纤细的东西
vt. 把...卷成小把"
warder,"n. 看守, 守卫, 看门人
[法] 监狱看守人, 门警, 管理人"
gallows,"n. 绞架, 绞刑
[法] 绞刑架, 绞台, 绞刑"
stand by,"支持, 遵守, 袖手旁观, 准备行动
[经] 备用, 支持, 作好准备"
bayonet,"n. 刺刀；卡销
vt. 用刺刀刺
vi. 用刺刀；劈刺"
handcuff,"vt. 给…戴上手铐；限制
n. 手铐；思想上的桎梏"
chain,"n. 链条；链子；锁链；一系列
v. 用锁链拴住（或束缚、固定）
[网络] 连锁；一连串；项圈"
caress,"n. 爱抚, 拥抱
vt. 爱抚, 抱, 宠爱"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
unresisting,"a. 不抵抗的, 不反抗的"
limply,"adv. 跛行地, 勉强地"
bugle,"n. 喇叭, 号角
v. 吹号"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
[计] 浮动"
barracks,"n. 兵营, 营房；简陋的房子；警察所（barrack的复数）"
superintendent,"n. 监督人, 主管人, 主日学校校长
[经] 监督人, 主管人(部门)"
jail,"n. 监牢, 监狱, 拘留所
vt. 监禁, 下狱"
prod,"n. 刺针, 刺棒, 激励话, 提醒物
vt. 戳, 刺, 刺激
vi. 戳, 刺"
gravel,"n. 砂砾, 碎石
[医] 沙砾, 尿沙"
irritably,adv. 性急地；暴躁地；[医]过敏地
set out,"n. 开始；出发；动身；准备
[网络] 陈列；着手；陈述"
magistrate,"n. 长官, 法官, 推事
[法] 司法行政官, 治安法官, 地方法官"
scalp,"v. 剥头皮
n. 头皮, 战利品"
up and down,"上下地, 到处"
cut ... short,"na. 打断(讲话)；使停止；缩减；从简
[网络] 中断；突然停止；缩短"
in full tide,无
bowels,"pl. 肠, 内脏, 内部"
toil away,吃力地走开；长期劳累
solemn,"a. 严肃的, 郑重的, 庄严的"
foolery,"n. 愚蠢行为, 愚事, 愚蠢"
foresee,"vt. 预见, 预知"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
servile,"a. 奴隶的, 奴性的, 卑屈的"
noose,"n. 套索, 束缚, 陷阱
vt. 用套索捉"
reiterate,vt. 重申；反复地做
on and on,继续不停地
poke,"n. 刺, 戳, 袋子
vt. 戳, 捅, 拨弄, 刺
vi. 戳, 刺, 捅, 搜索, 伸出, 行动散慢
[计] 存数"
waver,"n. 动摇, 踌躇, 挥动者
vi. 摇摆, 颤抖, 摆动, 摇曳, 犹豫"
throw up,"na. 呕吐；抛上；急造；丢弃
[网络] 吐出；抛起；举起"
clank,"n. 叮当声
vi. 发叮当声, 发铿锵声
vt. 使铿然作响"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
reach out, （使）伸出
oscillate,"vi. 振动, 彷徨, 犹豫
vt. 使振动, 使动摇"
back out,"停止不干, 食言
[法] 收回, 不再担保, 不承认"
ladle,"n. 勺子, 长柄勺
vt. 以勺舀取, 以勺掬, 不分对象予以赠送"
homely,"a. 家常的, 平凡的, 朴实无华的"
jolly,"a. 愉快的, 高兴的, 宜人的
vt. 恭维, 使高兴, 取笑
vi. 开玩笑
adv. 非常, 极为"
snigger,"vi. 窃笑
n. 窃笑, 暗笑"
chatter,"n. 饶舌, 啁啾, 喋喋不休
vi. 喋喋不休地谈, (鸟)啭鸣"
Eurasian,"n. 欧亚混血儿
a. 欧亚的, 欧亚人的"
classy,"a. 上等的, 优等的, 漂亮的"
garrulously,adv. 啰嗦地；饶舌地
pass off,"na. 拿(假货)卖给 (on somebody)；混过去；结束；顺利完成
[网络] 停止；终止；消失"
wriggle,"n. 蠕动, 蜿蜒
vi. 蠕动, 蜿蜒前进, 摆脱
vt. 使扭动, 扭动着爬"
refractory,"a. 不听话的, 执拗的, 难治疗的, 耐火的
[医] 不应的(期), 难治的, 顽固性的"
dislodge,"vt. 逐出, 使移动, 驱逐
vi. 离开原位"
genially,"adv. 亲切地, 和蔼地, 友善地"
do with sth.,"与...相处, 忍受, 对付"
could do with sth.,"na. 需要
[网络] 得"
chuckle,"n. 咯咯的笑声, 轻笑
vi. 咯咯的笑, 咕咕叫"
amicably,adv. 友善地
elm,"n. 榆树
[计] unix操作系统的信件处理程序"
radioactivity,n. 放射性；[核] 放射能力；[核] 放射现象
single-minded, 精一
made-up,"捏造的,虚构的"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
encircle,"vt. 环绕, 围绕, 包围"
idolize,"vt. 把...当偶像崇拜, 极端崇拜, 醉心于
vi. 崇拜偶像"
shred,"n. 碎布条, 细片, 少量
v. 撕碎"
revolutionize,"vt. 向...鼓吹革命, 使发生革命性剧变"
atomic,"a. 原子的, 原子能的
[医] 原子的"
pitiful,"a. 慈悲的, 可怜的, 令人同情的, 可鄙的"
tuberculosis,"n. 肺结核
[医] 顿挫性结核"
governess,n. 女家庭教师
wind up,"na. 解散(公司等)；终止；卷紧；绕紧
[网络] 结束；使紧张；上发条"
disinherit,"vt. 剥夺...的继承权
[法] 剥夺继承权"
nursemaid,n. 育婴女佣
drag by,na. (时间)一点一点地挨过去
meager,"a. 质量差的, 贫乏的, 不毛的, 瘦的"
enrol,"vt. 登记, 使加入
vi. 参军, 注册"
vat,[网络] 退还增值税
glisten,"vi. 闪亮, 辉耀
n. 闪光, 闪耀"
luminous,"a. 发光的, 明亮的
[医] 发光的"
congeal,"v. (使)冻结, (使)凝结"
radium,"n. 镭
[化] 镭Ra"
gritty,"a. 有砂砾的, 坚韧不拔的"
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
dank,"a. 阴湿的, 潮湿的"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
