stomach,"n. 胃, 食欲, 欲望, 肚子
vt. 吃下, 忍受"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
fever,"n. 发烧, 发热, 热病
[医] 发热, 热"
pale,"n. 栅栏, 界线, 范围
a. 苍白的, 暗淡的, 无力的
vi. 变苍白, 变暗, 失色
vt. 使变苍白, 使失色, 用栅栏围"
Sara,"n. 萨拉族, 萨拉人"
examination,"n. 考试, 测验, 审查
[医] 检查, 诊察"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
pardon,
X-ray,无
dentist,"n. 牙科医生
[医] 牙医师"
refuse,"n. 垃圾；废物
vt. 拒绝；不愿；抵制
vi. 拒绝"
toothache,[医] 牙痛
rotten,"a. 腐烂的, 恶臭的, 堕落的, 风化的, 虚弱的
[经] 腐烂的, 堕落的"
fortunately,"adv. 幸运地, 幸亏"
headset,"(头戴式)耳机,听筒"
aching,"a. 疼痛的, 使人痛苦的"
German,"n. 德国人, 德语
a. 德国的, 德国人的, 德国语的, 同父母的"
wolf,"n. 狼, 残忍贪婪之人, 极度穷困
vt. 狼吞虎咽, 大吃"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
vitamin,"n. 维生素
[化] 维生素"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
fibre,"n. 纤维, 构造, 纤维制品
[化] 纤维"
corn,"n. （美）玉米；（英）谷物；[皮肤] 鸡眼
vt. 腌；使成颗粒
n. (Corn)人名；(英、法、瑞典)科恩"
protein,"n. 蛋白质
a. 蛋白质的"
bean,"n. 豆子
[化] 油嘴; 豆"
Asian,"n. 亚洲人
a. 亚洲的, 亚洲人的"
soy,"n. 酱油, 大豆
[医] 大豆; 酱油"
calcium,"n. 钙
[化] 钙Ca"
bone,二等
yogurt,"n. 酸乳酪
[医] 酸乳"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
balanced,"a. 公平的, 平衡的
[计] 平衡的, 对称的, 均衡的"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
include,"vt. 包括, 把...算入, 包住
[计] DOS内部命令:在CONFIG.SYS文件的一个配置块中包含另一配置块的内容"
smoke,"n. 烟, 雾气, 烟熏剂, 抽烟, 烟色
vi. 吸烟, 冒烟, 弥漫
vt. 以烟熏, 抽烟而导致..."
harmful,"a. 有害的, 伤害的"
disease,[网络] 不舒服；不适；疾病
lung,"n. 肺, 肺脏, 空地
[医] 肺"
harm,(T 接头之)H平面臂
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
law,"n. 法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼
v. 起诉"
