straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
go straight on, 直走
left,"a. 左边的, 左倾的, 左侧的, 左派的
adv. 在左面
n. 左, 左面, 左派
leave的过去式和过去分词"
right,[网络] -对
lost,"a. 失去的, 遗失的, 迷惑的
lose的过去式和过去分词"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
No.,"adv. 没有；无；并不；禁止
int. 没有；不是；不要；（用于否定的回答或陈述）不
adj. 禁止；(一个也)没有；一点儿也没有；什么也[谁也]没有
n. 否定的回答；作否定回答的人；（统称）投反对票者
abbr. 【化】同“nobelium”(=number)
[网络] 一氧化氮(Nitric Oxide)；不(nope)；没有(None)"
number,[网络] 数量
street,"n. 街道, 马路, 街区
a. 街道的"
excuse me,对不起
turn left,"向左转,向左拐弯"
turn right,v. 向右转
next to,几乎
supermarket,超级市场
beside,prep. 在旁边
cinema,"n. 电影院, 电影"
so much,"那么多, 全是"
You're welcome!,[网络] 不客气；别客气；不用谢
station,[网络] 操作站
train,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序
vt. 训练, 教育, 对准
vi. 受训练, 锻炼"
hill,"n. 小山, 丘陵, 小土堆
vt. 作成土堆, 堆成小丘"
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
read,"v. 读, 阅读, 理解
a. 有学问的
n. 读取, 阅读
[计] 读取"
running,"n. 运转；赛跑；流出
adj. 连续的；流动的；跑着的；运转着的
v. 跑；运转（run的ing形式）；行驶
n. (Running)人名；(英)朗宁"
these,pron. 这些
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
[计] 图象; 形象; 字形"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
take pictures,照相
children,[网络] 字组拆分到两个音节中去
child,"n. 孩子, 产物, 追随者
[医] 儿童"
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
listen to,听
talk,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言
vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话
vt. 讲, 说, 讨论, 谈论
[计] 对话类, 聊天"
talk to, 同（某人）谈话; 责骂
China,"n. 中国, 瓷器
a. 中国的"
kid,[网络] 基德
get on,"na. 上马；安上；过日子；相投 (with together)
[网络] 上车；进展；相处"
can,[=child abuse and neglect]虐待和忽视儿童
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
lots of,"许多的..., 大量的..."
interesting,adj. 有趣的；引起兴趣的，令人关注的
thing,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征"
people,"n. 人, 人民, 民族, 平民
vt. 使住满人, 居住于"
