Break a leg!,"na. 〈非正式〉祝好运
[网络] 祝你好运；比如断了腿；演出加油"
come into one's own,"得到自己该得的东西, 盛行起来
[法] 得到自己应得的东西, 继承"
come of age,"到法定年龄
[法] 成年, 达到法定年龄"
come off it,[美国俚语]别装蒜了!别骗人了!别胡诌了!别吹牛了![多用于祈使句]
come off second best,[网络] 居第二位；输掉；被击败
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
[网络] 来吧；加油；快点"
come out ahead,无
come out in the wash,"暴露, 真相大白"
come out of one's shell,"不再羞怯, 开始活跃"
come out of the closet," 公开真相, 不再保守秘密"
come out with sth.,"发表, 出版, 说出, 提出, 把...投入市场销售"
come to a dead end,"到达铁道支线的终点;无法前进,停滞不前"
come to a head,"出脓, 到紧急关头"
come to a standstill,停顿下来
come to blows over sth.,无
come to blows,开始互殴
come to grips with sth.,与...搏斗
come to life,苏醒
come to light,"na. 显露
[网络] 真相大白；为人所知；出现"
come to mind,[网络] 想到；出现在脑海中；想起
come to nothing,终未实现
come to naught,落空
come to one's senses,"苏醒过来, 醒悟"
come to terms with ...,"与…达成协议,慢慢习惯"
come to terms,"达成协议, 妥协, 让步
[法] 达成协议"
come to the fore,"出名, 成为显赫人物"
come to the point,"变尖锐, 到紧要关头, 说到要点, 扼要地说"
get to the point,[网络] 言归正传；有话直说；有话直说，别吞吞吐吐
come to think of it,〈口〉我想起来了
come up,"走上前来, 发芽, 发生, 被提到, 流行
[建] 按照指标达到质量标准"
come up from behind,无
come up in the world,(生活或社会地位)提高
come up with ...,"赶上, 提出"
come what may,不管如何
come a cropper,"猛摔一交, 遭到惨败"
Come again?,"na. 请再说一遍
[网络] 再来啊；回来；又来"
come again,"na. 请再说一遍
[网络] 再来啊；回来；又来"
come along with sb.,随同
come along,"na. 进步；同意；一道来；请过来
[网络] 出现；进展；快点"
Come and get it!,"na. (饭预备好了)请过来吃
[网络] 试试拿走它吧；请过来吃吧；来呀，上啊"
come around,"na. 得到；达到；袭击
[网络] 苏醒；顺便过来；拜访"
come round,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息"
come at ...,"袭击, 达到, 得到"
come back,"n. 复原, 复辟, 复位, 尖刻的对答, 抱怨的原因
[计] 复原的"
come by sth.,"从旁边走过, 得到"
come by sth. honestly,vi. 继承
come clean with sb.,无
come down,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对"
come home,回家
come in,"na. 进入；当选；上台；(党派)组阁
[网络] 进来；请进；流行起来"
come in for sth.,"遭到, 受到"
fall in for sth.,"得到,受到"
come into sth.,"得到, 继承
[法] 继承"
come off,"发生, 举行, 表现, 结果"
come one's way,同意
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
come out for ...,"声明支持;表示同意,赞同;出去(散步、野餐、远足等)"
come out of nowhere, [体]突然成功
come over,"na. 从远方来；(从敌方)过来；变挂；〔口语〕欺骗
[网络] 顺便来访；抓住；丰田来未"
come through,"经历...仍活着, 安然度过, 胜利, 表现"
come to,"na. 总计为；结果是；苏醒；把船朝着风头
[网络] 恢复知觉；达到；到达"
come to a bad end,遭遇不测
come to an end,结束
come to an untimely end,夭折
come to grief,"遭到不幸, 遭难, 失败"
come to pass,na. (事情)发生；遭遇
come to rest,停止移动
come true,"实现, 成为事实"
come unglued, 情急心躁。; emotionally upset and lacking composure (informal)
come upon ...,"偶遇, 袭击, 要求, 成为...负担"
come on ...,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
[网络] 来吧；加油；快点"
do a double-take,楞了一下才领悟
do an about face on sth.,无
do an about face,无
do a flip-flop on sth.,无
do a flip-flop,无
do a job on ...,"损毁,损坏"
do a land office business,[美国口语]顾客盈门，生意兴隆 (land office 指19世纪美国西部土地管理局)
do a number on ...,"〈美俚〉取笑,戏弄;贬低,诋毁;欺骗,把…引入岐途"
do away with ...,"废除, 弄死"
do by sb.,n. & adj.<美口> = adobe
do credit to sb.,为...带来光荣
do sb. credit,无
do justice to ...,"公平对待, 适当处理"
do ... justice,[法] 公平对待
do one's own thing,[口语]以自己的独特方式(或风格、特长等)表现自己的性格；干自己最喜欢(或拿手、擅长)的事；放手行事；一意孤行，为所欲为
do one's thing,以自己独特的方式表现自己的性格
do sb. good,"v. 有益
[网络] 做好事；有好处；行善"
do ... in,"na. 欺骗；害死；累垮
[网络] 伤害；杀死；搞垮"
do in ...,"na. 欺骗；害死；累垮
[网络] 伤害；杀死；搞垮"
do sb. out of sth.,"v. 骗取
[网络] 抢劫；骗走，骗去"
do sb. proud,[网络] 足以使；骄傲；足以使……骄傲
do up ...,"v. 修缮；收拾
[网络] 系；打扮；包扎"
do ... up,"v. 修缮；收拾
[网络] 系；打扮；包扎"
do one's heart good,使(某人)从心眼里面高兴(或欢喜)；使(某人)欢欣鼓舞
do sth. over again,[化] 返工
do sth. over,"n. [澳大利亚俚语]；[用以指不知其名、暂时忘记其名或不屑称呼其名的人或物]某人, 那个人；那东西, 那玩意儿"
do sth. the hard way,无
do the honors," 尽地主之谊, 招待宾客"
do the trick,获得成功
do a snow job on sb.,"对…自吹自擂,欺骗,哄骗…"
do damage to sb.,"损害,破坏"
do one's best,尽全力
do one's duty,尽职责
do one's part,尽自己的职责
do one's bit,尽自己的一份力量
do ... over,"n. [澳大利亚俚语]；[用以指不知其名、暂时忘记其名或不屑称呼其名的人或物]某人, 那个人；那东西, 那玩意儿"
make ... over,"转让, 移交, 改造
[经] 把(财产)转让, 移交"
do over ...,"n. [澳大利亚俚语]；[用以指不知其名、暂时忘记其名或不屑称呼其名的人或物]某人, 那个人；那东西, 那玩意儿"
make over ...,"转让, 移交, 改造
[经] 把(财产)转让, 移交"
do sth. by hand,无
do sth. up brown,把...彻底搞好
get a black eye,被人打青了眼眶
have a black eye,无
get a break, 时来运转
have a break, 休息一下
get a bright idea,无
have a bright idea,无
get a charge out of ...,[网络] 从……中得到快感；因…而感到兴奋
get a kick out of ...,从…中获得刺激
get a bang out of ...,从…中得到乐趣
get a check-up,无
have a check-up,无
get a clean bill of health,无
have a clean bill of health,无
get a dirty look from sb.,无
get a dirty look,无
get a fair shake,[网络] 一视同仁；受到公平待遇
get a free hand with sth.,无
have a free hand with sth.,无
get a free hand,[网络] 全权负责
have a free hand,"行动自由,自主行事"
get a grasp of sth.,无
have a grasp of sth.,"掌握,通晓"
get a hand for sth.,无
get a hand,无
get a hand with sth.,无
have a hand with sth.,无
get a handle on sth.,[网络] 控制；解决；掌握
have a handle on sth.,[网络] 误入迷途
get a head start on ...,无
have a head start on ...,无
get a head start,良好的开端
have a head start,[网络] 有先起步的优势；领先；抢先动手
get a move on,"赶紧, 赶快"
get a hurry on,无
get a reputation as ...,无
have a reputation as ...,无
get a reputation,无
get a reputation for doing sth.,无
have a reputation for doing sth.,无
get a rise out of sb.,戏弄某人使之厌烦或愤怒
get a rough idea of sth.,无
get a rough idea about sth.,无
have a rough idea of sth.,无
have a rough idea about sth.,无
get a rough idea,无
have a rough idea,无
get a run for one's money,无
get a slap on the wrist,无
get a swelled head,自以为了不起
have a swelled head,自以为了不起
get a tongue-lashing,无
have a tongue-lashing,无
get a word in edgewise,插嘴
get a word in edgeways,插嘴
get about,"na. 走动；旅行；(消息等)传开；参加社会活动
[网络] 微型轿车"
get around,"病后能够走动, (非正式)旅行, 传开来"
get after sb.,"追击, 追捕, 攻击, 训斥"
get along on a shoestring,无
get along,"na. 过活；生活；团结；有起色
[网络] 相处；进展；融洽相处"
get along with sb.,"进展, 走开"
get on with sb., 继续（干某事）; 和…友好相处
get along,"na. 过活；生活；团结；有起色
[网络] 相处；进展；融洽相处"
get on,"na. 上马；安上；过日子；相投 (with together)
[网络] 上车；进展；相处"
get along without ...,[网络] 没有…也过得去；可以不需要；没有……也行
get ants in one's pants,无
have ants in one's pants,坐立不安
get antsy,无
get at ..., 得到; 找到; 责备; 暗示
have at ...,"打击, 攻击"
get away from it all,[网络] 远离这一切；用出走的办法来摆脱烦恼；摆脱一切
get away,"na. 逃脱；出发；把…送出
[网络] 离开；逃离；逃跑"
get away with sth.,na. 拿走；避开责备[惩罚]；〈俚〉卷(款)潜逃；吃掉，喝掉
get back at sb.,"报复,对…进行报复"
get back on one's feet,[网络] 重新站起来；东山再起；从失败中重新站起来
be back on one's feet,无
get back to sb.,"回到…,继续…"
get back,"na. 取回；回来；送回；〈俚〉报复
[网络] 收回；回家；取回物品"
get better,"痊愈,康复,转好"
get butterflies in one's stomach,[口语](临大事前)感到不舒服，感到恶心，感到不安，情绪紧张，心里发慌
have butterflies in one's stomach,[网络] 感到紧张；肚子里有蝴蝶；忐忑不安
get by with sth.,用…生活，靠…度日；用…对付过去；(欺骗)成功；侥幸；逃脱处罚
get by,"通过, 混过"
get carried away,[网络] 得意忘形；失去理智；不要被拉走了
get close to ..., 接近; 附; 迫临; 际
get close, 接近; 靠近; 靠拢过来
get cold feet,"感觉沮丧,犹豫"
have cold feet,"害怕, 畏缩"
get credit for sth.,因…而得到好评
get credit,"对……有好处
争功
取得学分"
get down to brass tacks,"讨论重要问题,触及问题实质"
get down to business,"开始做正经事,言归正传"
get down to work,"na. 认真工作
[网络] 认真开始工作；开始做重要的事情；完成重要的任务"
get down to cases,"讨论重要问题,触及问题实质"
get down to the nitty-gritty,无
get goose bumps,无
have goose bumps,无
get goose pimples,无
have goose pimples,无
get gray hair,变得非常焦急(或担忧)；(因焦虑、担忧而) 变得更苍老
get gray hairs,无
get hold of ...,"抓住, 得到"
have hold of ...,无
get in on the ground floor,v. 取得有利地位
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
[网络] 到达；收割；进站"
get in one's hair,无
get in one's way,"挡路,妨碍"
get in touch with sb.,与...联系
get in touch, 取得联系
get into a mess,陷入混乱
be in a mess,"乱七八糟,处境狼狈"
get into full swing,无
get into high gear,"加快速度,热火朝天地展开"
get into sth.,[网络] 到达什么地方；这个错误可能使他陷入困境
get into the swing of things,进入状况
get lost,"int. 〈口〉滚开；别烦我
v. 迷路；迷失；陷入…而忽略了…
[网络] 走开；走失；失踪"
get mixed up,混乱
get moving," 开始行动, 赶快开始（或离开等）"
get a raw deal,[网络] 吃亏
have a raw deal,无
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
[网络] 下来；动身；离开"
get off easy,[网络] 摆脱坏事情；没有遇到多少麻烦；幸好问题不大
get off lightly,"na. 轻易逃脱
[网络] 从轻发落；轻易摆脱"
get off on the wrong foot,"一开始就给人不好的印象,出师不利"
get off to a bad start,开始时不好
Get off one's case!,[美国俚语]让人独自呆着；不要打扰某人；[美国俚语]让人独自(或清静)呆着；停止对别人干扰(或打搅)
Get off one's back!,不再扰乱某人；不再批评某人
Get off one's tail!,着手工作而不坐等某事发生
get on one's nerves,令人不安
get on ...,"na. 上马；安上；过日子；相投 (with together)
[网络] 上车；进展；相处"
get on the bandwagon,[口语]看风使舵；赶浪头；人云亦云；(转而)参加得势一方；(转而)支持即将获胜的候选人(或运动)
get on one's bandwagon,无
jump on the bandwagon,"见风使舵,看气候;赶浪头,赶潮流"
jump on one's bandwagon,无
get lump in one's throat,无
have lump in one's throat,无
get on the good side of sb.,无
get on with ..., 继续（干某事）; 和…友好相处
get along with ...,"进展, 走开"
get one's comeuppance,遭到应有的报应；受到应有的处罚
get one's ducks in a row,[网络] 安排妥当；准备就绪；妥善处理或安排
get one's feet on the ground,无
have one's feet on the ground,脚踏实地，具有务实的态度
get one's feet wet,[网络] 开始做；参与；开始参加
get one's fingers burned,吃苦头
get one's foot in the door,[网络] 开始涉足于；我迈出成功的第一步
have one's foot in the door,[口语]获得机会参加[见foot]
get one's hands dirty,无
dirty one's hands,弄脏双手，玷污自己(的好名誉)
soil one's hands,做了不名誉的事
get one's hands off ...,无
have one's hands off ...,无
take one's hands off ...,无
get one's hands off,无
get one's hands on ...,"un. 大干一番；拿到
[网络] 占有；得到，找到；弄到"
lay one's hands on ...,[网络] 把…弄到手；获得；拥有
lay one's hands on,[网络] 把…弄到手；获得；拥有
get one's head above water,无
have one's head above water,无
get one's just desserts,无
get one's money's worth,花钱划得来
get one's nose out of one's business,无
get one's second wind,[网络] 喘过气来
have one's second wind,无
get one's start,无
have one's start,无
get one's teeth into sth.,[网络] 死死咬住；认真对待，全神贯注于；紧紧抓住
sink one's teeth into sth.,un. 〔地〕渗入；认真进行；狠狠地咬
get out from under ...,"脱离艰困,解除困境"
get out of a mess,无
get over ...,"爬过, 克服, 熬过, 恢复, 原谅"
get physical with sb.,无
get physical,[网络] 保持身体健康；线下沙龙交流；壮丁王二娃
get religion,"变得非常敬畏上帝, , 变得非常认真"
get rolling,"开始做某事（rolling是roll的现在分词）
着手做某事（rolling是roll的现在分词）"
get second thoughts about ...,无
have second thoughts about ...,无
get set,"na. 预备
[网络] 设置值；并返回老值；预备好开始"
be set,"vt. 围绕, 使苦恼, 镶嵌"
get sick, 生病
get wise to ...,"知道, 了解"
get wise,"[美国俚语]；了解到真实情况；得知(他人的)秘密；知道；识破, 察觉；醒悟, 警觉(常与 to 连用)"
get sb. off the hook,[网络] 解围，摆脱困境，麻烦；脱离困境；摆脱沉迷之物
get off the hook,[网络] 解围，摆脱困境，麻烦；脱离困境；摆脱沉迷之物
get one's ear,无
have one's ear,[网络] 向…进言
get ... out of one's mind,暂时把某事忘掉；不去想(某事)
get ... under control,无
have ... under control,无
get sb. out of a jam,无
get sb. over a barrel,无
have sb. over a barrel,"have over a barrel
[美国俚语] 完全支配某人(尤指在经济方面)"
get sb. under one's thumb,无
get sth. across to sb.,"v. 使…了解；使…接受
[网络] 让…听懂；讲清"
get sth. across,"na. 使了解；使通过；使人了解；与(人)冲突
[网络] 讲清楚；使被理解；解释清楚"
get sth. off one's chest,"na. 尽情倾诉
[网络] 一吐为快"
have sth. off one's chest,无
get sth. off the ground,"开始, 取得进展"
get sth. off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
[网络] 下来；动身；离开"
get sth. out in the open,无
get sth. out of one's system,无
get something out of sth., 从（某一任务或行动中）获益
get sth. straight,"na. 了解
[网络] 搞通；办好；搞明白"
have sth. straight,无
get sth. through one's thick skull,无
get sth. into one's thick head,无
get underway,[网络] 开始；启程；准备航行
have underway,无
get the air,"被解雇, (求受)被拒"
get the ball rolling,"开个头,使开始,使展开"
have the ball rolling,无
set the ball rolling,开始活动
start the ball rolling,"开始,开头,起头,带头发言,打头砲"
get the better of sb.,"战胜, 在...中占上风"
have the better of sb.,"占上风, 胜过…"
get the best of sb.,"战胜,胜过,佔了…的上风;克服,克制"
get the blues,"闷闷不乐,没精打彩,忧郁,沮丧"
have the blues,闷闷不乐
get the boot,解雇
get the cold shoulder,"受到冷遇,讨个没趣"
get a day off,无
get the day off,无
have a day off,休假一天
have the day off,"n. 休假,不用工作"
get the devil,无
catch the devil,[口语]受到严责，受到申斥
get hell,使人受罪;挨痛骂;受严惩
catch hell,受惩罚
get the feel of sth.,"获得感受,获得体会;熟悉,了解"
have the feel of sth.,无
get the floor,"有发言权, 取得发言权"
get the glad hand,无
get the go-ahead,[网络] 获得批准
get the green light,开绿灯；纵容(某人)
get the hang of sth.,"了解,理解,掌握…的窍门,摸清…的底细"
have the hang of sth.,vt.  懂得(知道 ... 的决窍)
get the hard sell,无
get the inside track,无
have the inside track,[网络] 占优势
get the last laugh,笑在最后;取得最后胜利
have the last laugh,笑在最后
get the jump on sb.,抢在...之前行动
have the jump on sb.,"抢在…之前行动, 对…占优先地位"
get the last word,在争论中硬要说出最后一句话;强辩到底
have the last word,"[法] 辩论中作最后的判断, 有决定权"
get the final word,在争论中硬要说出最后一句话;强辩到底
have the final word,在争论中硬要说出最后一句话;强辩到底
get the nod,"得到认可,被选中"
have the nod,无
get the picture, 了解（形式、情况等）
get the red carpet treatment,无
get the runaround,"有外遇,和异性鬼混"
get the sack,被解雇
get the ax,[网络] 炒鱿鱼；解雇
get a load off one's mind,无
get the short end of the stick,[网络] 吃亏；占便宜
have the short end of the stick,无
end up with the short end of the stick,无
get the show on the road,"开始干,着手进行"
get the third degree,[网络] 遭到盘问；受到严厉质询
get the upper hand on sb.,无
have the upper hand on sb.,无
get the upper hand,处于有利地位
get the word,理解意思
have the word,无
get the message,"得要领, 理解涵义"
get through sth.,"做完, 通过, 度过"
get through to sb.,"打通…电话;使自己被…理解,把自己的意思对…讲明白"
get through,"做完, 通过, 度过"
get through with sth.,"完成,做完,结束"
get time for ...,无
have time for ...,无
find time for ...,无
get time off,无
have time off,有空
get to one's feet,un. 觉得胆小；站起来
get to the bottom of sth.,弄清真相
get time to catch one's breath,无
have time to catch one's breath,无
get to the heart of the matter,无
get at the heart of the matter,无
get together,"adj. 协议的；会商的；大群人的
n. 会商；〈美〉联欢会；集会
[网络] 聚会；聚集；聚一聚"
get tough with sb.,强硬对待
get tough,"na. 凶恶起来；行动勇敢
[网络] 强硬的；严惩不贷"
get under one's skin,[网络] 使某人感到激动；剌激某人；激怒某人
get up enough nerve to do sth.,无
get up enough nerve,无
get well,"na. 痊愈
[网络] 康复卡；康复信函"
get what's coming to one,[网络] 咎由自取；得到应有的奖惩；得到应得的报酬
get wind of sth.,得到...的风声
get worked up over sth.,无
get worked up, 作色；动情
get a big send-off,无
have a big send-off,无
get a Charley horse,无
have a Charley horse,无
get a crush on sb.,[口语](稚气地)爱着，迷恋上…，深深地爱上…(指少年早恋)
have a crush on sb., （口）非常喜欢，狂热地爱上
get a fix on sth.,〈口〉(通过雷达等电子仪器)定出(某物的)位置
have a fix on sth.,无
get a hard time,无
have a hard time,"处境艰难,困苦不堪"
get a licking,"〈口〉被痛打,被打败"
take a licking,"na. 失败；弄糟；赔本
[网络] 遭受惨败"
Get a life!,[网络] 做点有益的事；醒醒吧；振作起来
get a red face,无
have a red face,无
get a shellacking,无
take a shellacking,无
get a start,"吃惊,吓一跳"
have a start,无
get ahead of,"胜过, 超过"
get ahead of ...,"胜过, 超过"
get ahead,"na. 进步；前进
[网络] 获得成功；超过；走在前面"
get along,"na. 过活；生活；团结；有起色
[网络] 相处；进展；融洽相处"
get along in years,年老;上年纪
get along,"na. 过活；生活；团结；有起色
[网络] 相处；进展；融洽相处"
get around to sth., 设法找到足够的时间去做（某事）; 说服
get away from ...,"离开,摆脱,脱离"
get away,"na. 逃脱；出发；把…送出
[网络] 离开；逃离；逃跑"
get back at sb.,"报复,对…进行报复"
have back at sb.,无
get back,"na. 取回；回来；送回；〈俚〉报复
[网络] 收回；回家；取回物品"
get busy,开始工作
get by on sth.,靠…过活
get by,"通过, 混过"
get cracking,"开始, 开始工作, 开始移动"
get dolled up,无
get all dolled up,盛装
get down to sth.,开始认真考虑;着手办理(某事)
get down to the facts,无
get even with sb.,偿还债务；向(某人)报仇；报复(某人)
get even,"un. 认真对待；定下心来做；报复
[网络] 算帐；扯平；要报复"
get fresh with sb.,对 ... 放肆无礼
get fresh,"na. 厚脸起来；变得无礼
[网络] 对异性无礼；听一遍就会喜欢"
get in on sth.,"参加,参与,干预"
be in on sth.,参预
get into an argument with sb.,与…发生争论
get involved with ...,被…缠住了
get involved, 介入
get it all together,"头脑清醒过来,有了自制能力"
have it all together,[美国俚语]；把生活安排得井井有条；使身心都得到平衡
get it together,[网络] 振作起来；打起精神；一起分享
get it in the neck,"遭殃, 受严厉的申斥, 受重罚"
get mad at ...,无
get mad,"生气,发火"
Get off it!,"别胡扯了,别装模作样了"
get on ...,"na. 上马；安上；过日子；相投 (with together)
[网络] 上车；进展；相处"
get one's best shot,无
have one's best shot,无
get one's dander up,[口语]发怒，动怒，恼火，发脾气
get one's back up,"na. 发怒
[网络] 生气；使某人生气；令人不爽或生气"
get one's hackles up, 令人发指
get one's Irish up,冒火，动怒，发脾气
have one's dander up,无
have one's back up,发怒，生气
have one's hackles up,无
have one's Irish up,无
get one's goat,激怒某人；嘲弄某人；挫伤某人
get one's fill of ...,无
have one's fill of ...,饱受…；厌倦于…
get one's number,无
have one's number,un. 摸熟某人的脾气；对某人的人品心中有数
get one's say,无
have one's say,"有发言机会, 有发言权"
get one's way with ...,无
have one's way with ...,[网络] 与某人发生性关系
get one's way,"[法] 为所欲为, 遂心所欲"
get one's wits about one,无
have one's wits about one,警觉
get out,n. 逃脱，逃避；逃脱手段，脱身之计；收支相抵，销售款与支出费用相同
get out of one's way,无
get out of sth.,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
[网络] 逃避；摆脱；离开"
get ready to do,无
get ready to do sth.,无
get ready,[网络] 准备好；预备；做好准备
get ... down,"na. 开始认真对待；落下；下车；写下
[网络] 下来；从…下来；降下"
get ... out of the way,"v. 解决；除去
[网络] 让开；避开；闪开"
get ... started,"v. 开始
[网络] 上手；开始使用；开始开会"
have ... started,无
get something on sb.,无
have something on sb.,[网络] 拿着某人的把柄；抓住某人的把柄
get stars in one's eyes,无
have stars in one's eyes, 天真烂熳
get sth.,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
[计] 取得指令, 获取文件"
get it," 了解, 懂得"
get sth. back,"na. 取回；回来；送回；〈俚〉报复
[网络] 收回；回家；取回物品"
get sth. off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
[网络] 下来；动身；离开"
get off sth.,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
[网络] 下来；动身；离开"
get sth. over with,"un. 就会过去；把…安排好；干脆了事
[网络] 忘记；一劳永逸地做完；把…做完了事"
have sth. over with,无
get sth. over,"爬过, 克服, 熬过, 恢复, 原谅"
get sth. sewed up,无
have sth. sewed up,无
get sth. under one's belt,无
have sth. under one's belt,无
get the advantage of sb.,"胜过,优于"
get an advantage of sb.,"胜过,优于"
get the advantage over sb.,"胜过,优于"
get an advantage over sb.,"胜过,优于"
