hello,"int. 喂；哈罗
n. 表示问候， 惊奇或唤起注意时的用语
n. (Hello)人名；(法)埃洛"
I'm,"na. 'im = him
[网络] 即时通讯(Instant Messaging)；即时通信(Instant Messenger)；即时消息"
I am,abbr. 国际机械师协会（International Association of Machinists）；索引存取方法（Indexed Access Method）；国际医学研究院（International Academy of Medicine）；国际气象学会（International Association of Meteorology）
Miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
hi,abbr. Hawiian Islands 夏威夷群岛；height of instrument 仪器高度；horizontal internal 水平间隔
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
you,"you
[ju:; 弱ju; jə]
pron.
[所有格] your,yours,[宾语]you, [复数] you
你，你们
泛指：一个人，任何人[在词义方面相当于不定代词one]
[用作反身代词]你自己，你们自己
[用作同位关系的名词或名词性词组前，作称呼]你这个，你们这些
[用于动名词前，代替 your]你，你们
n.
[口语]你这个人，你这样的人
短语:
After you!
请先!(请对方先吃或先走的客套话)
as you were
见as¹
between you and me (and bedpost)
[口语]咱们私下说；不为外人道；关起门来说
That's … for you!
[口语]这就是…的问题所在；这就是…的特点[常作贬义]
There's … for you!
[口语]你瞧多么…![多作反语，用于引起注意，表示讽刺]
to you
你应当叫，你不妨说，照通常说法
you ain't seen nothing yet
[俚语]这只是开始，好戏还在后头
You and the other nine.
你一个人还不行，再来一伙人还差不多[对夸口和威胁所表示的嘲笑]。
You and whose army.
你一个人还不行[亦作 you and who?else， 对夸口和威胁所表示的嘲笑]。
you and your
你这个…又来了
you and yours
你与你的家属(或财产)
You ask for it.
你自作自受。
You cackle often, but never lay an egg.
[谚语]但听咯咯叫，不见一蛋生；只闻楼梯响，不见人下来。
You can call a man no worse than unthankful.
[谚语]骂人最厉害莫过于骂他忘恩负义。
You can have no more of a cat than the skin.
猫身上除了一张皮以外别无可取。
you can keep …
我讨厌…；我对…没有一点好感
You can never tell.
[亦作 You never can tell.]很难预料。
you can (may) rest assured
请放心
You can say it again.
[口语]我完全同意；你说的对。
You can't lose what never had.
[谚语]不曾有过，何谈丢失?
You can't see the city for the house.
[谚语]囿于房屋，不见城镇。
You can't win them all.
[口语]胜败乃兵家常事。
You could have fooled me.
[口语]我不相信你。(或：我认为我自己的理解是对的。)
You don't know when you're well-off.
[亦作 You don't know you are alive.]你的境况比你估计的要幸运得多；你身在福中不知福。
You do that.
请便；请吧。
你敢![用于劝阻或阻止某人干某事]
you get
有
You have me there.
[亦作 You've got me there.]你抓住我的弱点了；你把我难住了。
You'll be lucky.
祝你走运；祝你成功。[用于说话人不相信某事真会发生]
You'll know it.
你会吃苦的；会够你受的。
You may (could) go farther and fare worse.
[谚语]走得更远情形可能更坏；知足常乐。
You may well say so.
你完全有理由这样说；你不妨那么说。
You must ask your neighbour if you shall live in peace.
[谚语]要想生活的安宁，就得求助于近邻。
You must go to the country to hear what news at London.
[谚语]要听城里事，须问乡下人。
You must lose a fly to catch a trout.
[谚语]舍不得小鱼饵，钓不到大鱼。
You must take the fat with the lean.
[谚语]不得挑肥拣瘦。
you name it
随你讲什么都行，任凭你说
You never know what you can do till you try.
[谚语]必须先尝试，方知何可为。
You pays your money and takes your choice.
[谚语]碰运气；各取所需。
you people
你们这些人(表示敌对、疏远的口吻)[１９９５]
You rang, sir.
您要点什么；有什么事为您效劳吗?[侍者应铃声前去服务时的用语]
You're a long time dead.
[谚语]人生几何，当及时行乐；人生易逝，好自为之。
You're another.
你自己也一样。[用于还嘴]
You're on it.
事情就这么定了；就这么办了。
You said it.
[口语]你说的对；我完全同意。
You should be so lucky.
[口语]你想得太美了。[用作幽默答语]
You should worry.
[幽默语]你当然用不着担心(或发愁)。
You shouldn't have.
谢谢你的好意。[用于接受礼物时]
You tell'em.
你说的非常对；你说的完全正确。
You tell me.
我一点也不知道；我也不大清楚。
You there!
喂；听着![用于引起人的注意]
You've not (或 never) lived.
你还没有真正充分懂得(或理解)人生；你还没有真正经历(或体验)过(某种)生活。
You what.
[俚语]
请再说一遍，我没听清楚。
你说什么? [表示惊讶、怀疑、气愤等]
You won't catch me …
我决不…；我永远不…
变形：
n.
yous"
too,adv. 太；也；很；还；非常；过度
a,"第一个字母 A; 一个; 第一的
art. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步"
