how long,"conj. 多长时间
[网络] 多久；默然挥手；后浪"
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
along,"adv. 平行地, 向前
prep. 沿着"
more than,"na. …以上；比…更
[网络] 多于；超过；不止"
kilometre,[网络] 离家少说也有二百公里
metre,"n. 公尺, 格律, 韵律
[医] 米, 公尺"
office building,"办公楼
[化] 办公楼"
Chinatown,[网络] 中国城；唐人街；牛车水
town,"n. 城镇，市镇；市内商业区
n. (Town)人名；(英)汤"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
[计] 主题, 主体"
everywhere,[网络] 到处；无所不在；别管距离多远
spoke,"n. 轮辐
vt. 装轮辐, 用刹车刹住
speak的过去式"
lion dance, 舞狮; 狮子舞
tomb,"n. 坟墓, 死亡
vt. 埋葬"
wrote,write的过去式
when,"conj. 考虑到；既然；当…时
adv. 什么时候，何时
pron. 那时；什么时侯
n. 时间"
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
[计] 工作簿"
collect,abbr. collection 收藏; 征收; collective 集体的; collectively 全体的
hobby,"n. 嗜好, 癖好, 爱好"
sun,"n. 太阳；日；太阳的光和热；阳光
v. 晒太阳
[网络] 阳光(sunshine)；孙；昇阳"
island,"n. 岛, 岛屿, 孤立地区, 安全岛
vt. 使成岛状, 孤立"
coconut,"n. 椰子；椰子树
[网络] 欧椰"
Thanksgiving,n. 感谢
nearly,"adv. 几乎, 密切地"
the Spring Festival, 春节
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
December,n. 十二月
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
pleased,"a. 高兴的, 喜欢的, 满足的"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
French,"adj. 法国的；法国人的；法语的
n. 法语
[网络] 法文；法式；弗伦奇"
phone,"n. 电话；电话机；音素；电话听筒
v. 打电话
[网络] 手机；联系电话；电话号码"
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
[法] 世界, 地球, 世人"
difficult,[网络] 困难的
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
[计] 用户问题及答案新闻组"
Miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
bamboo,"n. 竹子
[医] 竹类"
gave,give的过去式
its,"pron. 其
short. it is；it has
adv. （指事物、动物或婴儿）它的
[网络] 智能交通系统(Intelligent Transportation System)；智能运输系统"
almost,"adv. 几乎, 差不多"
deaf,"a. 聋的
[医] 聋的"
frightened,"a. 受惊吓的, 受惊的, (非正式)害怕...的"
sh,"int. （用以让别人安静）嘘
[网络] 巯基(sulfhydryl)；硫氢基；玻璃酸钠(Sodium Hyaluronate)"
roar,"n. 吼, 咆哮, 轰鸣
vi. 吼, 大声说出, 叫喊, 喧闹
vt. 呼喊, 使轰鸣"
fox,"vt. 欺骗；使变酸
n. 狐狸；狡猾的人
vi. 假装；耍狡猾手段
n. (Fox)人名；(英、法、德、意、西、瑞典)福克斯"
at night,在晚上
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
ever,"adv. 永远；曾经；究竟
n. (Ever)人名；(英)埃弗；(俄)叶韦尔；(西、法)埃韦尔"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
messy,"a. 散乱的, 污秽的, 麻烦的"
never,"adv. 从不, 决不, 不曾
[法] 永不, 决不, 从来没有"
blackboard,[网络] 黑板；黑板效果；黑板上书写的文字
peace,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂
vi. 安静下来, 不作声"
make peace,n. (Makepeace)人名；(英)梅克皮斯
member state,"[法] 会员国, 成员国"
famous,"a. 出名的, 极好的"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
forgot,forget的过去式和过去分词
way,"n. 方式；方法；途径；路
adv. 很远；大量；非常；极其
v. 让开；除去；处分
[网络] 道路；路线；方向"
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
[计] 交叉, 十字标"
