how long, 多久; 多长
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
along,"adv. 平行地, 向前
prep. 沿着"
more than,"比...多, 超出预料, 很, 绰绰"
kilometre,[网络] 离家少说也有二百公里
metre,[网络] -仪表
office building,"办公楼
[化] 办公楼"
Chinatown,[网络] 中国城；唐人街；牛车水
town,"n. 城镇，市镇；市内商业区
n. (Town)人名；(英)汤"
subject,[网络] 主体；对象；主题
everywhere,[网络] 到处；无所不在；别管距离多远
spoke,"n. 轮辐
vt. 装轮辐, 用刹车刹住
speak的过去式"
lion dance, 舞狮; 狮子舞
tomb,"n. 坟墓, 死亡
vt. 埋葬"
wrote,write的过去式
when,"conj. 当...的时候
adv. 何时, 什么时候
pron. 什么时侯
n. 时间"
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
book,[计] Adobe FrameMaker Book文件
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
hobby,"n. 嗜好, 癖好, 爱好"
sun,"n. 太阳, 日, 日光, 阳光
vt. 晒
vi. 晒太阳"
island,[网络] 陆地
coconut,"n. 椰子；椰子树
[网络] 欧椰"
Thanksgiving,n. 感谢
nearly,"adv. 几乎, 密切地"
the Spring Festival, 春节
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
December,n. 十二月
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
pleased,"a. 高兴的, 喜欢的, 满足的"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
French,"n. 法国人, 法文, 法式
a. 法国的, 法国人的, 法语的"
phone,"n. 电话；电话机；音素；电话听筒
v. 打电话
[网络] 手机；联系电话；电话号码"
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
[法] 世界, 地球, 世人"
difficult,[网络] 困难的
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
[计] 用户问题及答案新闻组"
Miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
bamboo,"n. 竹子
[医] 竹类"
gave,give的过去式
its,"pron. 其
short. it is；it has
adv. （指事物、动物或婴儿）它的
[网络] 智能交通系统(Intelligent Transportation System)；智能运输系统"
almost,adv. 差不多，几乎
deaf,"a. 聋的
[医] 聋的"
frightened,"a. 受惊吓的, 受惊的, (非正式)害怕...的"
sh,"int. （用以让别人安静）嘘
[网络] 巯基(sulfhydryl)；硫氢基；玻璃酸钠(Sodium Hyaluronate)"
roar,"n. 吼, 咆哮, 轰鸣
vi. 吼, 大声说出, 叫喊, 喧闹
vt. 呼喊, 使轰鸣"
fox,"n. 狐狸, 狡猾的人
vi. 奸狡地行动, (书页)生斑, 变酸
vt. 欺骗, 使变酸, 为(鞋等)换面, 使生黄斑"
at night,在晚上
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
ever,"adv. 永远；曾经；究竟
n. (Ever)人名；(英)埃弗；(俄)叶韦尔；(西、法)埃韦尔"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
messy,"a. 散乱的, 污秽的, 麻烦的"
never,adv. 从未；决不
blackboard,[网络] 黑板；黑板效果；黑板上书写的文字
peace,[网络] 和平
make peace,讲和
member state,"[法] 会员国, 成员国"
famous,"a. 出名的, 极好的"
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
forgot,forget的过去式和过去分词
way,"n. 方式；方法；途径；路
adv. 很远；大量；非常；极其
v. 让开；除去；处分
[网络] 道路；路线；方向"
cross,[网络] 罗斯；萝丝
