musketeer,"n. 火枪车, 步兵"
alchemy,"n. 炼金术, 魔力
[化] 炼丹术; 炼金术; 金丹术"
Saxon churl,无
rift,"n. 裂口, 空隙
vi. 裂开
vt. 使分开, 使割开"
scamper,"n. 蹦跳, 奔跑, 浏览
vi. 蹦跳, 奔跑, 浏览"
tussle,"n. 扭打, 争斗, 论争
vi. 扭打, 打斗"
dandelion,"n. 药蒲公英
[化] 蒲公英"
pejoratively,adv. 轻蔑地
facetiously,adv. facetious的变形
edict,"n. 布告, 法令
[经] 布告, 法令"
ultimatum,"n. 最后通牒, 基本原理
[法] 最后通牒, 哀的美敦书, 最后结论"
chimpanzee,"n. 黑猩猩
[医] 黑猩猩"
corpse,"n. 尸体
[医] 尸体"
pomegranate,"n. 石榴
[化] 石榴"
coffin,"n. 棺材, 灵柩
vt. 把...装进棺材"
bier,"n. 棺材, 棺材架"
oblong,"n. 长方形, 长椭圆形
a. 长方形的, 长椭圆形的"
hummocky,"a. 圆丘般的, 多圆丘的"
derelict,"a. 被抛弃了的, 无主的, 玩忽职守的
n. 遗弃物, 被遗弃的人, 玩忽职守者"
coral,"香豆磷,蝇毒磷"
gazelle,n. 瞪羚
hindquarter,后四分体
lathe,"n. 车床
vt. 用车床加工"
bow,[网络] 兵器；生化武器；生化兵器
witchcraft,"[法] 巫术, 魔法"
palm,"n. 手掌, 棕榈, 胜利
vt. 与...握手, 藏...于掌中"
lucerne,n. [主英国英语]【植物】苜蓿(= [美国英语] alfalfa)
harrow,"n. 哈罗公学, 耙
vt. 耙掘, 伤害, 使苦恼
vi. 被耙松"
furrow,"n. 犁沟, 车辙, 皱纹
vt. 犁, 耕, 弄绉
vi. 起波纹"
subsoil,底土
bridle,"n. 马勒, 约束
[医] 系带, 约束"
halter,"n. 缰绳, 笼头
[法] 绞刑, 绞索"
stork,n. 鹳
syphilis,"n. 梅毒
[医] 梅毒"
garrison,"n. 守备队, 驻军, 要塞
vt. 守备, 派兵驻守"
forebear,n. 祖先；祖宗
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
asunder,"adv. 分开, 散, 碎"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
[计] 转换"
subversion,"n. 颠覆, 打倒, 破坏
[法] 颠覆, 死亡, 败坏"
hemisphere,"n. 半球, 地球的半面, 大脑半球
[医] 半球"
sovereign,"n. 元首, 独立国
a. 具有主权的, 至高无上的, 国王的, 完全的"
writ,"n. 令状, 文书, 文件, 书面命令
[经] 法院命令"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
engulf,"vt. 卷入, 吸进, 吞没, 使全神贯注"
belabor,"vt. 痛打
[法] 殴打, 鞭打, 辱骂"
beachhead,"na. 滩头阵地；滩头堡
[网络] 滩头行动；抢滩登陆；比奇海岬"
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
[经] 传唤, 传讯"
tribulation,"n. 苦难, 困苦, 苦难的缘由"
pedantic,"a. 卖弄学问的, 学究式的, 假装学者的"
perspicacious,"a. 聪颖的, 聪明的, 敏锐的, 有洞察力的"
scales,n. 缩放；天平；鳞屑；磅秤
scalpel,"n. 解剖刀
vt. 用解剖刀切开"
idiocy,"n. 白痴, 极端愚蠢
[医] 白痴"
appendicitis,"n. 阑尾炎
[医] 阑尾炎"
laxative,"a. 通便的, 轻度腹泻的
n. 通泻剂, 缓泻药"
raccoon,"n. 浣熊, 浣熊毛皮"
cerebral,"a. 脑的, 大脑的
[医] 小脑的"
waif,"n. 无家可归者, 无主物, 飘流物, 流浪者, 信号旗"
oak,"n. 橡树, 橡木
a. 橡木制的"
contritely,adv. 懊悔地
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
crater,"n. 火山口, 环行山, 弹坑
[化] 焊口; 火山石; 弧坑; 焰口"
ember,"n. 灰烬, 余烬"
analogy,"n. 相似, 类似
[计] 模拟"
hypothesis,"n. 假设
[化] 假设"
pitchblende,沥青铀矿
radium,"n. 镭
[化] 镭Ra"
hamstring,"n. 后腿腱
vt. 切断腿腱使成跛腿, 使瘫痪"
constellation,"n. 星座, 荟萃
[化] 构象"
modulate,"vt. 调整, 使转调, 控制
vi. 转调, 调制"
Puritan,"n. 清教徒
a. 清教徒的"
amour,"n. 偷情, 性爱
[法] 奸情, 不正当的男女关系, 恋爱"
stature,"n. 身材, 身高, 高度
[医] 身材, 身高"
Victorian,"a. 英国维多利亚女王时代的, 笃信宗教的, 讲究体面的
n. 维多利亚女王时代的英国人"
catalytic,"a. 催化的
[医] 催化的"
precipitate,"n. 沉淀物, 凝结物, 结果
vt. 猛抛, 使陷入, 促成, 使沉淀
vi. 猛地落下
a. 突然的, 猛地落下的, 轻率的"
obsolescent,a. 在逐步废弃的
mores,"n. 习惯, 道德态度, 惯例, 习俗
[医] 风俗, 习惯"
Bohemian,"n. 波希米亚人, 波希米亚语, 放浪者
a. 波希米亚人的, 放浪的, 波希米亚语的"
perversion,"n. 走入邪路, 败坏, 堕落, 违反常情, 变态, 反常, 误用, 滥用, 歪曲, 颠倒
[医] 倒错, 乖常, 颠倒"
reveler,"n. 狂欢者, 欢宴者"
stalemate,"n. 僵局；陷于困境
vt. 使僵持；使陷入困境
vi. 僵持；陷入僵局"
insolence,"n. 傲慢, 无耻, 傲慢态度
[法] 无礼, 蛮横, 侮辱性言行"
belligerent,"a. 好战的, 交战的, 交战国的
[法] 交战一方, 交战国, 交战集团"
magnolia,"n. 木兰, 浅桃红色
[医] 木兰属"
fracas,"n. 喧噪, 吵闹, 纷扰"
corps,"corps
[kɔ:]
n.
【军事】(特殊兵种的)部队；军团
(共同工作者)团体，队，团
[废语]尸体
变形：
n.
corps"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
sergeant,"n. 警察小队长, 军士"
carnival,"n. 嘉年华会, 狂欢节, 饮宴狂欢"
contingent,"a. 或许发生的, 附随的, 偶然发生的
n. 偶然事件, 分遣队"
obliquely,"adv. 斜, 倾斜, 间接, 不光明正大, 躲躲闪闪"
expatriation,"n. 放逐国外, 放弃国籍"
beget,"vt. 为某人之生父, 招致, 产生, 引起"
clone,"n. 无性系
[计] 代用件"
preempt,"v. 〈比喻〉先占；以先买权取得；〈美〉为取得先买权预先占据(公地)
[网络] 预先制止；先发制人；抢先取得"
bilk,"vt. 欺骗, 赖帐, 使受挫折
n. 赖帐者, 骗子"
proximity,"n. 接近, 亲近"
pristine,"a. 太古的, 原来的, 古时的, 原始的"
vivacity,"n. 快活, 活泼, 精神充沛"
precinct,"n. 区域, 管理区, 管辖区域
[法] 管辖区, 选区, 分界"
subculture,n. 亚文化
boutique,n. 专卖流行衣服的小商店
ancillary,"a. 从属的, 辅助的, 副的
[经] 辅助的, 附属的, 助手"
malleable,"a. 有延展性的, 可锻的
[医] 可展的, 易适应的"
turnstile,[网络] 旋转门
succumb,"vi. 屈从, 屈服, 死"
tawdriness,"n. 俗丽, 华而不实"
cabana,n. 小屋
antiseptically,adv. 防腐地
enclave,"n. 被包围的领土
[医] 被包围物"
mongrel,"n. 杂种, 杂种狗, 混血儿
a. 杂种的, 混血儿的"
precariously,adv. 不安全地；不牢靠地
hybrid,"n. 混血儿, 杂种, 混合物
a. 混合的, 杂种的, 混合语的
[计] NetWare的主机实用程序, 双重用户建立程序"
admixture,"n. 混合, 混合物
[化] 掺和剂; 混合物; 掺和; 混合"
juxtaposition,[网络] 两种声音或叙述层次并置
exasperate,"vt. 使恼怒, 激怒, 恶化
a. 糙面的, 恼怒的, 激怒的"
exhilarate,"vt. 使高兴, 使愉快, 鼓励"
procession,"n. 队伍, 连续, 列队行进, 涌出"
decorous,"a. 有礼貌的, 高雅的, 端正的"
mauve,"n. 苯胺紫, 淡紫色
a. 淡紫色的"
tambourine,n. 小手鼓
