lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
carnival,"n. 嘉年华会, 狂欢节, 饮宴狂欢"
costume,"n. 装束, 服装"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
[网络] 穿上盛装；装饰；精心打扮"
dress sb. up,"na. 乔装；装扮；为…打扮；盛装打扮
[网络] 穿上盛装；装饰；精心打扮"
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
congratulation,"n. 祝贺, 恭喜"
congratulate,"vt. 祝贺, 庆贺"
riddle,"n. 谜, 谜语, 粗筛
vt. 解谜, 给...出谜, 筛, 寻根究底地检验, 充满于
vi. 出谜"
ceremony,"n. 典礼, 仪式, 礼节
[法] 典礼, 仪式"
samba,"n. 桑巴舞
vi. 跳桑巴舞"
make-up,"弥补, 赔偿, 配制, 包装, 编辑, 虚构, 缝制, 组成, 和解, 结算, 整理, 化装
[经] 弥补, 赔偿, 内部运装"
after all,adv. 毕竟；终究
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
[计] 量程; 范围; 域; 距离"
range from ... to ...,"从...到...(不等), 范围从...到..."
origin,"n. 起源, 起因, 出身, 开端
[计] 原点; 起始地址; 信件来源的相关数据"
religion,"n. 宗教, 信仰
[法] 宗教, 宗教信仰, 信仰"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vi. 计算；出现；扮演角色
vt. 计算；认为；描绘；象征"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
joy,"n. 欢喜, 乐事, 高兴
vt. 使快乐, 令人高兴
vi. 欢喜"
joyful,"a. 欢喜的, 高兴的, 令人高兴的"
gratitude,n. 感激之情
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
agricultural,"a. 农业的
[法] 农业的, 耕作的"
agriculture,"n. 农业
[机] 农业, 农学"
