criticize,"v. 批评, 吹毛求疵, 非难"
whispering,"n. 低语, 私语, 耳语, 流言, 谣言, 沙沙声, 飒飒声
a. 传播流言蜚语的"
quiver,"n. 震动, 颤抖, 箭袋
vi. 颤抖, 振动
vt. 使颤动
a. 敏捷的"
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
[计] 阴影"
gratefulness,"n. 感激, 感恩"
lasting,"a. 永久的, 永恒的, 持久的
n. 厚实斜纹织物"
consciousness,"n. 意识, 知觉, 自觉
[医] (有)意识, 清醒"
gorgeous,"a. 华丽的, 灿烂的"
talent,"n. 天才, 才能, 有才干的人, 天资"
unique,"a. 独一无二的, 独特的, 稀罕的"
acquire,"vt. 获得, 学到
[电] 目标锁定"
determination,"n. 决心, 果断
[化] 判定; 测定"
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
outward,[网络] 中心向外
swift,"swift
[swift]
adj.
迅速的，快速的，快速进行的
突然发生的；立刻的
敏捷的，反应快的
立即作出的，到来(或作出)得快的；短暂的
机警的；动辄…的(与 to 连用)
adv.
[多用以构成复合词]快，迅速地；敏捷地
n.
【鸟类】雨燕科(Apodidae)鸟类
[亦作 swift moth,ghost moth]【昆虫】蝙蝠蛾[蝙蝠蛾科(Hepialidae)蛾]
【动物】(爬行迅速的)小蜥蜴( = spiny lizard)
【纺织业】
绷架；纱框；箴子
(梳棉机等的)大滚筒；大锡林
变形：
adj.
swifter
. swiftest"
intense,[网络] 紧张
comparative,"a. 比较的, 相对的
n. 对手"
generally,"adv. 通常, 逐渐地, 普遍地"
victory,"n. 胜利, 战胜, 克服"
strength,"n. 力量, 实力, 强度, 浓度, 人数, 抵抗力
[化] 强度"
transport,[网络] 运输
hike,"n. 徒步旅行, 远足, 涨价, 提高
vi. 步行, 徒步旅行, 上升
vt. 使高涨, 拉起"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
betray,"vt. 出卖, 背叛, 辜负, 暴露
[法] 出卖, 背叛, 泄漏"
forgive,"vt. 原谅, 宽恕, 免除
[法] 免除, 宽恕, 原谅"
importance,"n. 重要, 重要性, 重要地位, 自大
[机] 重要, 重要性"
cautious,"a. 谨慎的, 小心的"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
reputation,"n. 名誉, 名声, 声望
[法] 名声, 名誉, 公认证据"
worthy,"suf. [构成形容词]表示：“值得…的”,“该…的”：praiseworthy,“适于…的”,“易于…的”：roadworthy"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
responsible,"a. 有责任的, 负责的, 责任重大的
[法] 应负责任的, 有责任的, 能履行责任的"
assistance,n. 援助，帮助；辅助设备
cooperation,n. 合作，协作；[劳经] 协力
strategy,"n. 战略, 策略
[经] 战略, 策略"
fashion,na. comb. F. 加在名词之后
dim,"a. 暗淡的, 模糊的
vt. 使暗淡
[计] 数据解释模块"
flesh,"n. 肉, 肉体, 肉欲, 人性, 亲属, 人类, 众生, 人体
vt. 以肉喂, 激起...的杀戳情绪, 使肥, 赋以血肉
vi. 长胖"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
solution,"n. 解决, 解答, 溶液
[化] 溶液"
scarce,"a. 难得的, 稀罕的, 缺乏的"
soak,"vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透
vi. 浸泡；渗透
n. 浸；湿透；大雨"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
opportunity,"n. 机会, 时机"
potentially,"adv. 可能地, 潜在地"
approval,"n. 赞成, 批准
[化] 核准"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
[计] 顺序, 阶数"
unsure,"a. 不肯定的, 不确定的, 没有自信的"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
[经] 传唤, 传讯"
utilize,vt. 利用
mindset,n. 心态；倾向；习惯；精神状态
affirmation,"n. 肯定, 断言, 证实
[医] 肯定, 确认"
statement,[网络] 说明
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
encourage,"vt. 鼓励, 支持, 激励
[法] 怂恿, 煽动, 助长"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
[化] 划痕; 裂缝; 裂纹"
willing,"a. 乐意的, 自愿的, 甘愿的"
confess,"v. 承认, 坦白, 忏悔, 供认"
rear,[地名] 雷河 ( 英 )
attitude,"n. 态度, 看法, 姿势
[医] 体态, 姿势, 态度"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
alliance,"n. 联盟, 联合
[法] 同盟, 联盟, 联姻"
concern,[网络] 关心；关系
unless,"conj. 除非，如果不
prep. 除…之外"
confident,"a. 有信心的, 有把握的"
illness,"n. 疾病, 恶意
[医] 病"
intervene,"vi. 插入, 调停, 干涉
[经] 进场干预"
diligent,"a. 勤勉的, 用功的"
crowded,"a. 拥挤的, 塞满的"
solitary,"adj. 独自的；单独的；喜欢（或惯于）独处的；单个的
n. 独居者
[网络] 孤独的；唯一的；独居的"
dervish,n. (伊斯兰教的)托钵僧
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
extent,"n. 范围, 程度, 区域
[计] 范围"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
release,"vt. 释放；发射；让与；允许发表
n. 释放；发布；让与"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
grin,"n. 露齿笑
v. 露齿而笑"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀
n. (Attack)人名；(瑞典)阿塔克"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
[法] 消灭了的, 过时的, 无效的"
stretch,"vt. 伸展,张开
vi. 伸展
adj. 可伸缩的
n. 伸展，延伸
n. (Stretch)人名；(英)斯特雷奇"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
dividend,"n. 被除数, 股利
[计] 被除数"
dissipation,"n. 消散, 分散, 浪费
[化] 耗散; 能量耗散; 能量浪费"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
stock,"n. 股份，股票；库存；血统；树干
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽
n. (Stock)人名；(德、匈、捷)施托克；(英、法、葡、瑞典)斯托克"
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的
n. 有关教会的事"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
[法] 神圣的, 不可侵犯的"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
trifle,"n. 琐事, 少量
vt. 浪费
vi. 开玩笑, 翻弄, 虚度光阴"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
[计] 属性"
invariably,"adv. 不变化地, 恒定地, 始终如一地"
tedious,"a. 沉闷的, 冗长乏味的"
happiness,"n. 快乐, 幸运, 适当"
palm,"n. 手掌, 棕榈, 胜利
vt. 与...握手, 藏...于掌中"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
responsibility,"n. 责任, 职责, 负担, 可靠性
[化] 职责"
authority,"n. 权力, 当权者, 当局, 权威, 专家
[经] 代理权, 授权, 权威"
fortune,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运
[法] 命运, 财产, 大量财产"
relationship,n. 关系；关联
unchecked,"a. 未加抑制的, 未经检查的
[计] 未选中的"
lurk,"n. 潜伏, 潜行
vi. 暗藏, 潜伏, 埋伏
[计] 隐匿阅读"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
pollute,"vt. 污染, 弄脏, 玷污
[化] 污染"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
direction,n. 方向；指导；趋势；用法说明
otherwise,[网络] 聪明
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
extend,"v. 扩充, 延伸, 伸展, 扩大
[计] 扩展"
courtesy,"n. 礼貌, 谦恭, 好意
[法] 优待, 礼貌, 恩惠"
benefit,"n. 利益
vt. 有益于
vi. 受益"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
extreme,"adj. 极端的；极度的；偏激的；尽头的
n. 极端；末端；最大程度；极端的事物"
poverty,"n. 贫穷, 贫困, 缺乏
[医] 贫乏, 缺乏"
limitation,[网络] 局限性
wheel-barrow,无
dig,[计] DigiLink格式；Sound DesignerⅠ音频文件
edit,[网络] 中点编辑
auction,"n. 拍卖
vt. 拍卖"
competition,"n. 竞争, 竞赛
[经] 竞争, 竞销, 比赛"
eliminate,"vt. 除去, 排除, 剔除, 消除"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
[计] 功能, 函数"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
focused,a. 聚焦的；专心的
confidence,[网络] 有自信
basis,"n. 基础, 主要成分
[化] 基底"
nourish,"vt. 滋养, 使健壮, 怀有"
disappointment,n. 失望；沮丧
guilt,"n. 罪行, 内疚
[法] 罪, 犯罪, 罪行"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
cruel,"a. 残酷的, 令人极痛苦的
[法] 残忍的, 残酷的"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
[计] 终端; 终端设备"
unfortunately,"adv. 恐怕, 不幸的是"
reality,"n. 实在, 事实, 实体, 逼真
[法] 现实, 实在存在的事物, 实在性"
enable,"vt. 使能够
[计] 允许, 使能, 打开"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
powerful,"a. 有力的, 有权力的, 强大的
[机] 强力的"
confused,"adj. 困惑的；混乱的；糊涂的
v. 困惑（confuse的过去式）"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
cause,"n. 原因；事业；病因；理由
v. 导致；使；引起；产生"
contact,[网络] 装饰用套子
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
perpetually,"adv. 永恒地, 持久地"
wondering,"a. 觉得奇怪的, 疑惑的"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
[计] 标志; 标注; DOS外部命令:用于建立改变或删除磁盘卷标号"
accordingly,"adv. 相应地, 因此, 于是"
deluge,"n. 大洪水, 泛滥
vt. 使泛滥"
distract,"vt. 转移, 分心, 使发狂"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
amidst,prep. 在...当中
assert,"vt. 主张, 坚称, 断言
[法] 宣称, 断言, 维护"
willpower,[法] 意志力
marvellous,"a. 奇异的, 神奇的, 奇迹般的, 惊人的, 不可思议的, 绝妙的, 妙极的"
convey,"vt. 传达, 运输, 转让
[经] 转让(财产等), 搬运"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
glorious,a. 光荣的
positive,"a. 肯定的, 积极的, 有把握的
[医] 正的, 阳性的"
thought,"n. 想法, 思想, 思维, 关心, 挂念
think的过去式和过去分词"
overnight,[网络] 过夜；隔夜敞口；过夜检查
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
count,"v. 重要；认为；算作；包括
n. 总数；点数；数出总数；（某物质在某物或面积中）量的计数
[网络] 计算；数量；数数"
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
create,"vt. 创造, 建造, 引起, 任命"
absolutely,adv. 绝对地；完全地
dignity,"n. 尊严, 高贵
[法] 尊严, 高位, 高贵"
behavior,"n. 行为, 举止
[医] 行为"
dispute,"n. 争论
v. 争论"
wrongdoing, 恶行
adjustment,"n. 调整, 调节, 校正
[化] 调节"
coincide,"vi. 一致, 符合；同时发生"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
twinkle,"n. 闪烁, 闪耀, 瞬息
vi. 闪烁
vt. 使闪耀"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
attainable,"a. 可到达的, 可得到的"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
encroach,"vi. 侵犯, 侵蚀, 蚕食
[法] 侵犯, 侵入, 侵占"
privacy,"n. 隐私, 隐居, 秘密
[计] 个人保密权"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
gut,"n. 剧情, 内容, 内脏, 肚子, 海峡, 勇气
vt. 取出内脏, 毁坏...的内部"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
instinct,"n. 本能, 直觉
a. 充满着的"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
futile,"a. 无用的, 琐细的, 不重要的"
spurn,"n. 踢开, 拒斥
vt. 踢开, 冷落, 践踏, 唾弃
vi. 藐视, 摒弃"
distortion,"n. 扭曲, 变形, 曲解
[计] 畸变; 失真"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
goodness,"n. 仁慈, 善良"
vividly,"adv. 鲜艳, 强烈, 明亮, 鲜明, 活泼, 有生气, 生动, 清晰, 逼真"
priceless,"a. 无价的, 极贵重的"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
[计] 校验子; 并发位"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
[计] 通用汇编程序, 图形应用程序, 间距"
puzzle,[网络] 难题
belong,[网络] 不弄；很长时间才能发生；买空
smart,[网络] 硬盘错误侦测；硬盘已使用时间；设定工具
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
[计] 得分"
overall,遍及
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
passionate,"a. 热情的, 热烈的, 易怒的, 热恋的"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
[计] 计算结果"
failure,[化] 事故; 失效
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
[计] 打回"
discouragement,"n. 使泄气, 使气馁, 使沮丧, 使丧失信心, 使失去信心, 阻拦, 劝阻, 留难"
setback,"na. 阻碍；延迟；〈非正式〉花费
[网络] 推迟；推迟，延缓；使退步"
key,[计] DataCAD图标工具条文件
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
[计] 最小化"
period,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
ambiguity,"n. 不明确, 含糊
[计] 二义性; 多义性"
skeptical,"a. 怀疑论的, 怀疑的, 不可知论的
[法] 怀疑的, 不信的, 怀疑论者的"
ironically,"adv. 冷嘲地, 挖苦地, 讽刺地, 令人啼笑皆非地"
impressive,"a. 给人深刻印象的, 威严的"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
information,[网络] 形成中；永远都在队伍中；信息
communication,"n. 交流, 交通, 通讯
[计] 通信"
quantity,"n. 量, 数量, 总量
[计] 数量; 量"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
[计] 品质"
passively,"adv. (贬)被动, 守势, 受动, (贬)消极, 不抵抗, 驯服, 钝性, 无源, 钝态, 无利息"
acquaintance,"n. 认识, 相识者"
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
beauteous,a. 美丽的
landscape,地景
eyesight,视野;窥视孔;检查孔;信号孔
underestimate,"vt. 低估；看轻
n. 低估"
forgiveness,"n. 宽恕, 宽仁之心"
path,n. 道路；小路；轨道
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
aggravate,"vt. 使恶化, 使更严重, 加重"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
mental,"suf. 表示""行为的"""
inevitable,"a. 不可避免的, 必然的
[法] 不可避免的, 无法规避的, 必然的"
depressed,"adj. 沮丧的；萧条的；压低的
v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
[计] 临时"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
subject,[网络] 主体；对象；主题
immense,"a. 极广大的, 无边的, 非常好的"
lower,"n. 低辐射; 低辐射膜; 低辐射玻璃
(low-e 的比较级)"
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
screw,"n. 螺旋, 螺杆, 螺钉, 螺旋桨, 吝啬鬼
vt. 调节, 扭紧, 旋, 拧, 加强, 压榨, 勒索
vi. 转动, 旋, 拧"
perfection,"n. 完美, 完成, 极端
[经] 完整性"
beat,"从事于,做"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
[计] 俘获; 陷井"
enhance,"vt. 提高, 加强, 增加"
enrich,"vt. 使富足, 使肥沃"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
[计] 透视"
chance,"n. 机会, 意外, 可能性
vi. 偶然发生
vt. 冒险"
industrious,"a. 勤勉的, 刻苦的"
adopt,"vt. 采用, 正式通过, 收养, 接受
[医] 采取"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
[医] 能力, [大学]院系"
require,"vt. 需要, 命令, 要求
[法] 需要, 要求, 命令"
ego,"n. 自我
[医] 自我"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
absence,"n. 缺席, 缺乏, 没有
[医] 失神"
battle,"n. 战役
v. 战斗"
frenzy,"n. 疯狂, 狂暴, 狂怒
[医] 暴怒, 狂乱"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
blink,"vi. 眨眼, 闪亮
vt. 眨眼, 使闪亮
n. 眨眼, 瞬间, 闪光, 闪烁
[计] 闪烁"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
[计] 复选"
introspection,"n. 内省, 反省
[医] 内省"
altitude,"n. 高度, 海拔, 高处
[电] 高度"
pity,"n. 遗憾, 同情, 怜悯, 憾事, 可惜
vt. 同情, 怜悯
vi. 觉得可怜, 有同情心"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
[计] 显示器; 显示"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
[法] 宣布, 宣告, 公布"
goods,"n. 货物
[经] 货物, 商品, 动产"
thorough,"a. 十分的, 彻底的"
aware,"a. 知道的, 有觉悟的"
shortage,"n. 不足, 缺乏
[化] 缺额"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
determine,"v. 决定, 决心"
moment,[网络] 一刹那
irrespective,"a. 不顾的, 无关的, 没关系的"
aspire,"vi. 渴望, 立志于"
efficiency,"n. 效率, 效能, 功效
[医] 效率, 效力"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
respect,[网络] 尊重
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
classmate,n. 同班同学
policy,"n. 政策, 方针, 策略, 保险单
[医] 凭单, 保险单"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
composition,"n. 作文, 创作, 组成
[化] 成分; 组成"
passage,"n. 一段（文章）；走廊；通路
n. (Passage)人名；(英)帕西奇；(法)帕萨热"
growth,"n. 生长, 栽培, 增长
[计] 等比级数"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
universe,"n. 宇宙, 星系, (思想等)范围"
billion,"num. 十亿, 十亿个"
gazillion,n. <口>许许多多
burst,[网络] 突发；总线主控和线性突发
reserved,vt. re-serve的变形
considerate,adj. 体谅的，体贴的，关切的；考虑周全的，周密的；[废语]谨慎的；深思熟虑的
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
[计] 阶; 指数"
integrity,"n. 正直, 廉正, 完整
[计] 完整性"
generosity,"n. 慷慨, 宽大"
tolerance,"n. 宽容, 忍受, 容忍, 容许量, 公差
[计] 允许误差"
belief,"n. 信念, 相信, 信仰"
motivated,"a. 有动机的, 目的明确的"
specific,"a. 特殊的, 特定的；明确的；详细的；[药] 具有特效的
n. 特性；细节；特效药"
encounter,"vt. 遭遇, 邂逅；遇到
n. 遭遇, 偶然碰见
vi. 遭遇；偶然相遇"
simplify,"vt. 单一化, 简单化"
misinterpret,vt. 曲解
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
[计] 删除"
energy,"n. 精力, 精神, 活力, 能量
[化] 能; 能量"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
exaggerate,"v. 夸大, 夸张"
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
technology,"n. 技术, 工业技术, 术语
[医] 技术学, 工艺学"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
[计] 选择对象"
accurate,"a. 正确的, 精确的
[经] 准确的, 精确的"
investment,"n. 投资
[医] 包埋料, 围模料, 包埋法, 围模法"
activity,"n. 活动, 行动, 活跃, 活力
[计] 活动"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
[计] 方式; DOS外部命令:设定各种设备命令"
attention,n. 注意力；关心；立正！（口令）
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
[计] 连接, 链路"
apt,[医] 明矾沉淀类毒素
distinguish,"v. 区别, 辨别"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
