truant,"n. 懒惰的人, 玩忽职守者, 旷课者
a. 偷懒的, 旷课的, 游荡的
vi. 偷懒, 旷课"
play truant,"逃学, 逃避责任"
unimaginative,"a. 缺乏想象力的, 无趣的"
over and over,"反复, 再三"
over and over again,反复地; 再三地
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
put sb. to shame,"羞辱某人, (喻)使某人黯然失色, 胜过某人, 使自愧不如"
hitchhike,[网络] 搭便车；凶险旅程；搭便车到处走走看看
evade,"v. (巧妙地)逃脱, 规避, 逃避"
Antarctic,"a. 南极的, 南极地带的
n. 南极地区"
fantasy,"n. 幻想, 想象的产物
[医] 幻想"
imaginary,"a. 想像的, 虚构的, 假想的"
fantasia,n. 幻想曲
shyness,"n. 羞怯, 胆怯"
assemble,"vt. 集合, 收集, 装配
vi. 集合
[计] 汇编"
limelight,[化] 石灰光
river bed, 河床
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
take precautions to prevent sth. against sth.,无
fan,"fan1
[fæn]
n.
任何通过扇动引起空气流动的装置
(羽毛、纸或布做的)扇子
风扇
扇形物(如鸟尾等)
(风车的)翼，叶片，螺旋桨
扬谷机
【地理学】扇状三角洲际
[俚语](扒手为探明钱物的部位，用手在扒窃对象身上)快速的一摸
vt.
(用扇子)扇：
He fanned the fire.
他用扇子扇火。
(用扇)向…搧风；吹凉(食物等)：
She fanned her face with a paper.
她用纸向脸上搧风。
煽动，鼓动，激起：
to fan resentment
激起忿恨
(用扇)驱赶
把…展成扇形：
She fanned out the cards in her hand.
她将纸牌在手中展成扇形。
风选(谷)；扬去(糠、杂物等)
[美国俚语]
拍击，拍打
(用枪)连击
[美国英语]【棒球】使(击球员)三击不中出局
vi.
飘动，轻拂：
the flag fanning in the breeze
微风中飘动的旗帜
成扇形展开(常与out连用)：
The troops fanned out as they advanced.
部队向前推进时呈扇形散开。
The fire fanned out in all directions.
大火向四周呈扇形蔓延。
[美国英语]【棒球】(击球员)三击不中出局
[口语]闲聊
[口语](为窃取钱币)拨弄公用电话机的贮钱装置
[英国英语](扒手为探明钱物往扒窃对象身上)快速地一摸
短语:
fan someone's tail
打屁股
flirt a (或 one's) fan
一下子把扇子打开(或合拢)
灵活地挥动扇子
hit the fan
[美国俚语]酿成大乱，产生严重后果；有极大的(往往是不良的)影响
变形：
vt.
fanned
. fanning
fan2
[fæn]
n.
[美国口语](运动、娱乐等的)狂热者，爱好者，热心之士，…迷；(对演员、电影明星的)狂热仰慕者"
shady,"a. 荫凉的, 成荫的, 阴暗的, 隐蔽的
[法] 成问题的, 令人怀疑的"
sheriff,"n. 郡治安官, 县治安官
[法] 司法行政官, 郡长, 执行吏"
be hard on sb.,过分严厉对待某人
sneer,"n. 冷笑, 嘲笑
vi. 嘲笑, 冷笑
vt. 嘲笑着说, 嘲笑得使"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
inconvenient,"a. 不便的, 有困难的"
get out of sth.,[网络] 离开了
get out,"出去, 离开, 逃脱, 摆脱, 泄露, 说出, 出版, 弄出来"
get into sth.,"学会, 熟悉, 习惯于"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
get on with sth., 某事进展如何
get on with sb., 与某人相处
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
[网络] 下来；动身；离开"
get over sth.,(从疾病等)恢复； 克服
get sth. over,[网络] 结束
get through sth., 通过（考试等）
compartment,"n. [建] 隔间；区划；卧车上的小客房
vt. 分隔；划分"
providing,"conj. 以...为条件, 假如"
providing that,"conj. 以...为条件, 假如"
scornful,a. 轻蔑的
SOS,"n. 紧急求救信号
vi. 发出遇难信号
n. (Sos)人名；(罗)绍什；(西、俄、印尼)索斯；(柬)索"
Save Our Souls,"国际通用的呼救信号, 船遇难时的呼救"
overhead,[网络] 制造费用；顶置空间；过顶球
stamp sth. out,"扑灭, 消灭"
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
[化] 现场"
survivor,"n. 生还者, 幸存者
[法] 生还者, 生存者, 辛存者"
sunburnt,[网络] 太阳晒伤；晒伤的；太阳晒焦
cargo,"n. 货物
[经] 货柜"
wreckage,"n. 残骸, 失事, 破坏
[经] (船双等的)失事遭难"
frightful,"a. 可怕的, 惊人的, 丑的, 非常的"
fool,"n. 愚人, 受骗者, 奶油拌水果
vt. 愚弄, 欺骗, 浪费
vi. 干傻事, 开玩笑, 游荡
a. 傻的"
April Fools' Day,n. 愚人节(4月1日)
bulletin,"n. 公告, 布告, 公报
[电] 电子布告栏"
macaroni,"n. 通心面, 纨绔子弟"
Calabria,卡拉布里亚区[意大利行政区名]
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
grower,"n. 栽培者, 生长物"
splendid,"a. 光亮的, 了不起的, 灿烂的, 壮丽的, 显著的, 杰出的"
crop,"n. 农作物, 产量, 平头
vt. 收割, 修剪, 种植
vi. 收获
[计] 裁剪"
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
cartload,n. 一车之载量
stalk,"n. 茎, 追踪, 高视阔步
vi. 悄悄靠近, 蹑手蹑脚地走近, 蔓延, 高视阔步
vt. 追踪, 搜索"
thresh,"vt. 打谷, 摔打, 反复研究, 推敲
vi. 打谷, 鞭打, 剧烈扭动"
process,[网络] 过程；流程；进程
Signor,"n. 绅士, 男人, 先生"
practical,"a. 实际的, 现实的, 实用性的
[法] 事实上的, 实际上的, 接近...的"
practical joke,恶作剧
onlooker,"n. 观众, 旁观者"
Prime Minister,"总理, 首相
[法] 总理, 首相, 内阁总理"
somewhere,[网络] 在某处；不知处
era,"ERA
abbr.
earned run average
Economic Regulatory Administration (美国)经济管理局
Electrical Research Association (英国)电气研究协会
electron ring accelerator 【核子学】电子环加速器
Emergency Relief Administration (美国)紧急救济署
Equal Rights Amend-ment
era
['iərə; 'εərə]
n.
纪元
(标志新的重要历史阶段开端的) 重大事件(或重要日子)
(某一重大历史事件后的)年代；阶段
时代；历史时期
【地质学】代[亦见epoch, period, age]
近义词:
period
短语:
carpet-bag era
【美国历史】北方人到南方投机谋利时期(1861～1865年美国南北战争后重建时期，北方投机家只拎一只毯制旅行手提包到南方各州去投机，故称)
era of good feeling
ᰀ(1817～1825年门罗当美国总统的)善意的时代"
B.C.,abbr. 公元前（Before Christ）
Before Christ,公元前
mummy,"n. 木乃伊, 瘦而干瘪之人, 妈咪
[医] 干尸, 木乃伊; 普鲁士红"
Egyptian,"n. 埃及人
a. 埃及的, 埃及人的"
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
[医] 颞颥, 颞部"
Thebes,n. [史]底比斯（古希腊Boeotia的主要城邦）
X-ray image,无
die of sth.,无
disease,[网络] 不舒服；不适；疾病
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
resin,"n. 树脂
vt. 涂树脂于"
skin,"n. 皮肤, 皮
vt. 剥皮, 在...植皮
vi. 长皮, 愈合, 蜕皮"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
[计] 扇区"
laboratory,"n. 实验室, 研究室, 化工厂
[医] 实验室, 检验室, 化验室"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vi. 计算；出现；扮演角色
vt. 计算；认为；描绘；象征"
god,[网络] 住好啲；上帝
Duamutef,无
fall to pieces,跌碎
garlic,"n. 大蒜
[化] 大蒜"
Julius Caesar,尤利乌斯•凯撒（罗马共和国末期杰出的军事统帅、政治家）
William the Conqueror,"na. 征服者威廉第一
[网络] 威廉一世；征服者威廉一世；诺曼王朝威廉一世"
rosy,"a. 蔷薇色的, 玫瑰红色的"
cheek,"n. 颊, 厚颜, 脸蛋
[医] 颊"
complexion,[化] 络离子; 配离子
marking,"n. 印记, 印, 分
[计] 标志"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
[法] 给...权利, 使有资格, 称呼"
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
concentration,n. 浓度；集中；浓缩；专心；集合
symptom,"n. 症状, 征候, 征兆
[医] 症状"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
appetite,"n. 食欲, 欲望, 爱好
[医] 食欲"
amusement,"n. 兴味, 娱乐, 消遣
[法] 娱乐, 娱乐活动"
whenever,[网络] 究竟何时；等等；什么时候给我打电话都可以
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
satisfaction,"n. 满足, 满意, 快事, 赔偿, 赎罪, 报仇的机会
[经] 偿还, 赎回"
point sth. out,[网络] 点出来
point sb. out,无
take sth. up,[网络] 采纳；重提某事；拿起
tropical,"a. 热带的, 热情的
[医] 热带的"
keep away from sth.,无
keep away from sb.,无
keep sth. up,[网络] 继续保持；遵守某事物
keep up with sb.,[网络] 追上某人；跟上某人；与某人保持联系
keep up with sth.,[网络] 跟上sth
keep out,使在外
keep sth. in,无
keep sb. in,[网络] 把关学；留下；罚课后留下
mood,"n. 心情, 气氛, 生气, 基调
[医] 心境"
disposition,"n. 性情, 处置, 处理, 布置
[医] 素因, 性情"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
[化] 承包; 承担"
take charge of sth.,无
take charge of sb.,无
touch down,"攻方持球触地得分, (飞机着陆过程中)触地"
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
childhood,儿童期
take sth. off,"拿去, 拿走, 去掉, 取消, 脱下, 夺去, 复制, 带领"
take sb. off,"学...的样, 模仿"
take after sb.,"象..., 像..., 与...相象, 学...的样"
take up sth.,无
take to sth.,"开始, 开始从事于, 走向, 赴, 去休息/躲避, 委身于"
take sth. down,"拿下, 咽下, 记下, 录下, 记录, 拆卸, 拆掉, 拆毁, 压下...的气焰"
Cape Canaveral,[航] 卡纳维拉尔角（位于美国）
dutiful,"a. 尽职的, 忠实的, 顺从的, 守本分的"
habitual,"a. 习惯的, 惯常的, 平常的
[法] 习惯的, 以习惯为常业的, 惯常的"
customary,"a. 习惯的, 惯常的
[经] 通常的, 习惯的"
inhabit,"vt. 居住于, 占据, 栖息"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
palace,"n. 宫, 宫殿, 华丽大厦"
Great Exhibition,[网络] 大博览会；伟大的博览会；大展览
Hyde Park,（伦敦）海德公园
iron,[网络] 铁；铁含量
of all time," 一直, 始终；有史以来"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
[法] 不同的, 种种的, 各式各样的"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
[计] 显示器; 显示"
on display,"陈列着,在展览"
steamboat,汽艇；轮船；蒸气船
in all,"总共
[经] 合计, 全部"
profit,[网络] 专家型；宝发实业有限公司
battery,"n. 电池, 殴打
[化] 蓄电池"
download,"[计] 下装, 卸载"
pirated,a. 盗版的
nylon,"n. 尼龙
[化] 尼龙; 聚酰胺纤维"
Frankfurt,"n. 牛肉香肠, 猪牛肉混合香肠"
on business,因公
on the whole,"大体上, 基本上"
on the average, 平均而言; 一般来说;  通常; 平均来讲
on any account,无论如何
on second thoughts,经再次考虑，重新考虑后；经再次考虑，重新考虑后；经过重新考虑之后，再仔细考虑以后
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
[医] 压迹, 印模, 印象, 影响"
assorted,"a. 各种各样的, 分类的"
prisoner of war,"n. 战俘
[法] 战俘"
bush,"n. 矮树丛
[化] 管衬"
rapidly,"adv. 飞快地, 迅速地, 赶紧地"
rifle,"n. 来复枪, 步枪
vt. 用步枪射击, 抢夺
vi. (抱有不良意图)迅速翻查"
shoulder,[网络] 大号
boldly,"adv. 大胆地, 显眼地"
up and down,"上下地, 到处"
