across from,在...对面
next to,几乎
between,"prep. 在…之间
adv. 在中间"
restaurant,[网络] 餐馆
post office,"邮局
[法] 邮局"
bank,"n. 银行, 堤, 岸
[医] 库"
grocery,"n. 食品杂货店, 食品杂货业"
turn left,"向左转,向左拐弯"
turn right,v. 向右转
go straight,"笔直走, 正直做人
[法] 改过自新"
crossroads,"n. 十字街头
[网络] 十字路口；交叉路口；十字形交叉"
neighbourhood,[地理] 邻里
send,[网络] 结束；路程尽头；四十六的下场
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
[计] 取得指令, 获取文件"
money,[网络] 抠抠
get to,"到达, 接触到, 开始, 对...有影响"
before,"prep. 在…之前，先于
adv. 以前；在前
conj. 在…以前；在…之前"
leave,"n. 许可, 告别, 请假, 休假
vt. 离开, 剩下, 遗忘, 委托, 丢弃
vi. 出发, 离开, 生叶"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
hospital,"n. 医院
n. (Hospital)人名；(英)霍斯皮特尔"
bookshop,"un. 书店
[网络] 街转角的书店；逛书店；书局"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
supermarket,超级市场
ball,"comb.form [主美国俚语]表示；“令人讨厌或古怪的人”：goofball；“自作聪明的人”,“傻瓜”：butterball"
city,suf. [与其他词合成构成形容词]表示“…城市”
street,"n. 街道, 马路, 街区
a. 街道的"
sports centre," 体育运动中心, 运动场"
hotel,[网络] 旅馆；酒店；昊天
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
buy toys,无
see a film, 看电影
go boating, 划船；泛舟
busy,"a. 忙碌的, 热闹的, 没空的
vt. 使忙
vi. 忙碌
[计] 忙; 忙碌"
station,[网络] 操作站
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
thing,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
king,"n. 国王, 君主
vt. 使...成为君主
vi. 君临, 统治"
central,"adj. 中心的；主要的；中枢的
n. 电话总机"
take photos, 照像，拍照
museum,"n. 博物馆
[网络] 展览馆；博物院；美术馆"
dream,"vi. 梦想；做梦，梦见；想到
n. 梦想，愿望；梦
vt. 梦想；做梦；想到
adj. 梦的；理想的；不切实际的"
sea,"n. 海；海洋；大量；海面情况
abbr. (=Southeast Asia)东南亚
[网络] 大海；战略环境评价(Strategic Environmental Assessment)；统计能量分析(Statistical Energy Analysis)"
ski,[网络] -滑雪
eat seafood,无
visit the Mogao Caves,无
West Lake,莲花
row a boat, 摇船
the Great Wall, 长城; 万里长城
take photos, 照像，拍照
summer vacation,暑假
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
reading,"n. 阅读, 知识, 读物
a. 阅读的"
skateboarding,滑板运动
singing,"n. 歌唱, 歌声
[计] 振鸣; 蜂鸣"
dancing,"n. 舞蹈
[建] 跳动的"
doing jigsaw puzzles,无
making models,无
collecting erasers,无
different,adj. 不同的；个别的，与众不同的
hobby,"n. 嗜好, 癖好, 爱好"
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
go for a picnic,[网络] 去野餐；去野炊；出去野炊
play the violin,叹苦经想得到人们的同情
go skating,去滑冰
go camping,去野营
do the housework,[网络] 做家务；做家务活；料理家务
free,comb. 无…的；免除…的
never,adv. 从未；决不
once a week,每星期一次
twice a week, [医]每周二次
three times a week,[网络] 一周三次；每周三次；一星期三次
Canada,n. 加拿大
Australia,"n. 澳洲, 澳大利亚"
the UK,n. 英国
the USA,[网络] 美国；悠游美国
China,"n. 中国, 瓷器
a. 中国的"
koala,n. 袋熊
maple leaves,枫树叶子
Big Ben,"n. 英国伦敦议会大厦顶的大钟, 美国得州西南部的国立大本德公园(Big Bend National Park)"
Disneyland,n. 迪斯尼乐园
campfire,n. 营火
cute,"a. 可爱的, 聪明的, 伶俐的
[医] 品他病"
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
[计] DOS外部命令:用于设定国家代码, 包括日期时间及货币格式"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
