party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
weather,"n. 天气, 气象, 处境
a. 迎风的
vt. 使受风吹雨打, 侵蚀, 使风化, 经受住
vi. 风化, 受侵蚀, 经受风雨"
sunny,"a. 阳光充足的, 乐观的, 快乐的, 像太阳的"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
begin,"v. 开始
[计] 开始"
bring,【天文学】B环
do some shopping, 买东西
map,[计] 映射文件；Duke Nukem 3D WAD游戏文件
China,"n. 中国, 瓷器
a. 中国的"
crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
Saturday,n. 星期六
son,[网络] -儿子
never,adv. 从未；决不
another,n. 待定人选
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
[建] (混)浊的"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
strong,"a. 强壮的, 坚固的, 坚强的, 强烈的, 有力的, 优良的
adv. 强劲地, 有力地, 猛烈地"
rain,"n. 雨, 下雨, 雨天
vi. 下雨
vt. 使大量落下"
lake,"n. 湖, 池, 色淀
v. (使)血球溶解"
earth,[网络] 莉莎的天空
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
dry,"a. 干的, 无酒的, 枯燥无味的, 干燥的
vt. 把...弄干
vi. 变干
n. 干, 干涸"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
[计] 完整"
bring about,"na. 造成；带来；【航】(使船)回转
[网络] 引起；导致；产生"
be bad for,对…有害
full of, 充满; 牣; 尽是
difficult,[网络] 困难的
healthy,"a. 健康的, 有益健康的, 卫生的
[医] 健康的"
bookshop,"un. 书店
[网络] 街转角的书店；逛书店；书局"
hill,"n. 小山, 丘陵, 小土堆
vt. 作成土堆, 堆成小丘"
air,"n. 空气；空中；天空；神态
v. 晾；播出；播送；晾干
[网络] 大气；执行环境(Adobe Integrated Runtime)；青空"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
more,suff. 更…
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
[计] DOS外部命令:用于设定国家代码, 包括日期时间及货币格式"
cut down,"na. 砍倒；削减；减价；夺去…活动力
[网络] 减少；缩短；降低"
third,"num. 第三, 三分之一
[机] 第三; 第三的"
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
[计] 基底"
fifth,"num. 第五, 五分之一"
