background,[经] 背景
be into,"〈口〉给迷住,对…深感兴趣,深深卷入"
be into something,[网络] 对某事感兴趣；喜欢某事
bicycle,n. 自行车
camp,[=cyclic adenosine monophosphate]环磷酸腺苷
summer camp,n. 夏令营
childhood,儿童期
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
comic book,n. 连环漫画册
competition,"n. 竞争, 竞赛
[经] 竞争, 竞销, 比赛"
degree,"n. 程度, 度数, 学位, 度
[医] 度, 程度"
follow,"vt. 跟随；遵循；追求；密切注意，注视；注意；倾听
vi. 跟随；接着
n. 跟随；追随"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
[计] 取得指令, 获取文件"
get in trouble,惹上麻烦
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
[计] 取得指令, 获取文件"
get to know, 认识; 审悉
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
good at, 擅长…
hero,"n. 英雄, 超越常人者, 男主角"
immigrant,"n. 移民
a. 移入的, 移民的"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
keep fit,"保持健康,健身"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
[计] 存储器, 内存, 查看内存实用程序"
messy,"a. 散乱的, 污秽的, 麻烦的"
movie star,n. 电影明星
neat,"a. 整洁的, 巧妙的, 匀称的, 简洁的
n. 牛"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
[经] 占有, 占用, 职业"
online,"[经] (与主机)联机, 在线, 机内"
outdoor,[网络] 户外做法；大型室外全天候音柱；户外活动
personal ad, （尤指交友或寻性伴侣的）私人广告
politics,"n. 政治, 政治学, 政见, 政治活动
[法] 政治, 政治学, 政纲"
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
[经] 占有, 持有"
professional,"n. 专业人才
a. 专业的, 职业的"
rabbit,"n. 兔子
vi. 猎兔
vt. 让...见鬼去"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
regularly,"adv. 有规则地, 一丝不苟地, 正式地"
remember,[网络] 忆起；记得；记起
scrapbook,"un. 剪贴簿
[网络] 有图为志"
skate,"n. 溜冰, 冰鞋
vi. 滑冰, 滑过"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
tree house,"n. 树上小屋, 巢屋"
trumpet,"n. 喇叭, 小号, 喇叭声
vi. 吹喇叭
vt. 用喇叭吹出, 吹嘘"
two-story, 两层的
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
[计] 允许命令"
area,"n. 区域, 面积, 范围, 空地
[计] 区域"
banquet,n. 宴会
bicycle lane, 非机动车道
bicycle stand,"un. 自行车停车场
[网络] 自行车架；自行车支架；自行车停车位"
bus lane,n. （街道上的）公共汽车专用车道
bus station,n. 公交车站
bus stop,公共汽车站
bus system,[计] 总线系统
cash machine, 自动取款机
cause,"n. 原因；事业；病因；理由
v. 导致；使；引起；产生"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
concern,[网络] 关心；关系
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
[计] 计数器; 计数字"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
district,"n. 区域, 地方
[医] 地区, 地段"
duty-free,[经] 免税
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
[计] 编辑器"
fewer,a. 较少的
highway,[网络] 高速公路；就是高速公路了；省道公路
information center,信息中心
tourist information center,[网络] 旅游信息中心；旅游咨询中心；旅客服务中心
less, 没有；无
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
more,suff. 更…
motorist,"n. 开汽车者, 驾车旅行的人"
nature,"n. 自然, 大自然, 本性, 性格, 性质
[医] 自然, 大自然; 本性, 性能"
newsstand,n. 报摊；杂志摊
nightclub,n. 夜总会
not enough,[网络] 爱不够；不足；还远远不够
paradise,"n. 天堂, 乐园, 伊甸园"
parking garage,n. <美>汽车停车场
parking space,n. 停车位
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
rating,"n. 等级, 额定功率, 责骂
[经] 等级评定"
road,"n. 路, 道路, 公路, 途径, 方法
[法] 公路, 道路, 行车道"
rush hour,"n. （上, 下班的）高峰期"
shopping mall,n. 大型购物中心
sightsee,"vt., vi. 观光，游览"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
[计] 正负号; 符号; 符号字符"
slogan,"n. 呐喊声, 标语, 口号"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
[计] 求解"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
stay open,无
streetlight, 路灯；街灯
subway line,无
subway station,n. 地铁车站
subway stop,无
subway system,[网络] 地铁系统；地铁网；地道系统
taxi lane,滑行道
taxi stand,(侯租的)出租车行列
theme,[计] Windows桌面主题文件
too many,[网络] 太多；太多了；太多的
too much,"太多, 太高"
tourism campaign,无
traffic jam,"塞车, 交通阻塞"
train station,n. 火车站
train stop,止车器
train system,无
upstairs,"na. 在[向]楼上
[网络] 上楼；由此上楼；下楼梯"
whom,[网络] 谁
add,[网络] 度；新增；注意力缺陷症
afraid,"a. 害怕的, 恐怕的, 遗憾的"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
[计] 板"
room and board,食宿
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
comfortable,[网络] 舒适
cramped,"a. 狭窄的, 难懂的, 难辨的"
dingy,"a. 暗淡的, 昏暗的, 邋遢的"
expect,"vt. 预期, 盼望, 期待"
expense,"n. 费用, 代价, 开支, 损失
[经] 费用, 开支, 将支出转为费用"
housework,家庭工作
inconvenient,"a. 不便的, 有困难的"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
[计] 列表, 序列, 数据清单"
locate,"vt. 找出, 设于, 位于
vi. 定居"
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
make changes,进行更改；使发生变化；换零钱
modern,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
per,[网络] 器配件
PIN number,插脚数；引脚数；管脚号码
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
[计] 私人的"
safari,"n. 旅行, 旅行队, 科学考察"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
two-car,无
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
wild,"n. 荒野, 荒地
a. 野性的, 野蛮的, 野生的, 失控的, 任性的, 杂乱的, 轻率的, 狂热的, 疯狂的
adv. 狂暴地, 失控地"
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
appetizer,"n. 开胃食品, 吊胃口的东西
[医] 开胃剂"
bagel,n. 百吉饼（先蒸后烤的发面圈）；[俚]（体育比赛中）零蛋
bake,"vt. 烘焙, 烤
vi. 烤面包
n. 烘焙, 烤"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
barbecued,"a. 烘烤过的
v. （通常在户外）在烤架上烧烤( barbecue的过去式和过去分词 )"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
charcoal,"n. 木炭
[化] 木炭"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
[计] 关闭"
cookbook,"n. 菜谱；食谱
[网络] 烹饪书；菜谱烹饪本；做菜书"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
crispy,"a. 卷曲的, 松脆的, 易碎的, 干脆的, 干净利落的, 生气勃勃的"
cry,"n. 叫声, 哭声, 大叫
vi. 哭, 叫, 喊
vt. 叫喊, 大声说, 哭出"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
[网络] 切碎；剪碎；宰后得肉"
diced,"v. 将…切成小方块, 切成丁( dice的过去式和过去分词 )"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
eggplant, 茄
ethnic,"a. 人种的, 种族的
[医] 人种的"
exam,"n. 考试, 测验"
from time to time,有时
fry,"n. 油炸食物, 鱼苗
v. 油炸, 煎"
guacamole,n. 鳄梨酱； 鳄梨色拉
guacamole dip,无
ingredient,"n. 成分, 因素
[化] 配合剂; 拼料; 成分; 组分"
lightly,"adv. 轻轻地, 少许, 不费力地"
lime,"n. 石灰, 粘鸟胶, 酸橙
vt. 以石灰处理, 粘鸟胶于, 撒石灰"
marinate,vt. 用腌泡汁腌/泡(肉/鱼)
marinated,vt. 把…浸泡于腌泡汁中（marinate的过去式与过去分词形式）
mash,[网络] 风流医生俏护士；野战医院；外科医生
melted,melt的过去式和过去分词
mix,"n. 混合物, 混乱, 糊涂
vt. 使混合, 弄混, 使结合, 混淆
vi. 相混合, 交往, 参与"
mixture,"n. 混合, 混淆, 混合物
[化] 混合物"
overnight,[网络] 过夜；隔夜敞口；过夜检查
pan,[网络] 一的炒米芳
peanut butter,n. 花生酱
pepper,"n. 胡椒粉, 胡椒, 辣椒
[化] 胡椒; 辣椒; 花椒"
chili pepper, 红辣椒
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
poisoning,"n. 中毒
[医] 中毒"
food poisoning,na. 食物中毒
popcorn,爆粒玉米
pork,"n. 猪肉
[医] 猪肉"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
[计] 写后读"
recipe,"n. 食谱, 处方, 秘诀
[医] 取(处方头语), 处方"
