China,"n. 中国, 瓷器
a. 中国的"
from,"prep. 从, 来自, 根据"
Canada,n. 加拿大
the U.S.,n. 美利坚合众国，美国
Britain,n. 英国
Australia,"n. 澳洲, 澳大利亚"
India,n. 印度
France,n. 法国
her,"pron. 她的；她
n. (Her)人名；(法)埃尔"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
Ottawa,n. 渥太华
London,[网络] 伦敦；英文单词伦敦；五环及英文单词伦敦
famous,"a. 出名的, 极好的"
Washington D.C.,华盛顿特区华府
housework,家庭工作
shoe,"n. 鞋, 靴, 外胎
vt. 给...穿鞋, 为马钉蹄铁"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
window,[网络] 学习环境
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
clothes,n. 衣服
meal,"n. 一餐, 一顿饭；膳食
vi. 进餐"
water,[网络] 水
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
dish,"n. 盘子, 碟, 菜肴
[医] 皿, 碟"
yum,int. 极好的；妙的；美味的
want,[网络] 没有区别欲望
eat,"v. 吃；吃饭；用餐
[网络] 食；喝；进食"
noodle,"n. 面条, 笨蛋"
food,"n. 食物, 养料
[医] 食物, 食品"
out,"a. 外面的, 熄灭的, 结束的
adv. 在外, 熄灭, 出现
prep. 出自, 离去, 向"
potato,n. [作物] 土豆，[作物] 马铃薯
soup,"n. 汤, 马力
vt. 加速, 增加马力"
tomato,"n. 番茄, 西红柿"
wait,"n. 等待, 等候
vt. 等候, 期待, 延缓, 伺候, 推迟
vi. 等, 等候, 耽搁, 伺候用餐
[计] 等待"
