steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
won,win的过去式和过去分词
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
[计] 进位; 进位数"
such,"a. 如此的, 这样的"
in such a hurry,[网络] 如此匆忙；也是如此的匆忙；如此繁忙
silly,"a. 愚蠢的, 糊涂的"
hare,"n. 野兔
vi. 飞跑"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
meant,mean的过去式和过去分词
tortoise,"n. 龟, 行动迟缓的人"
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的"
careless,"a. 粗心的；无忧无虑的；淡漠的
n. (Careless)人名；(英)凯尔利斯"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
remember,[网络] 忆起；记得；记起
sad,"a. 忧愁的, 悲哀的"
harder,a. 更难的；更努力的；更坚固的（hard的比较级）
another,n. 待定人选
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
[计] 崩溃"
into,"prep. 到…里；深入…之中；成为…状况；进入到…之内
n. (Into)人名；(芬、英)因托"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
die,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望
vt. 死
n. 骰子, 冲模"
pick up,"v. 拾起；探出；重新开始
[网络] 捡起；拿起；学会"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
himself,pron. 他自己；他亲自，他本人
from then on,从那时起
stop,[网络] 中国医师戒烟项目；停止服务
all day long,整天
appear,"vi. 出现, 显得, 来到
[法] 出庭, 到案, 出现"
go for it, 放手向前，努力争取
happen,vi. 发生；碰巧；偶然遇到
happen to,"碰巧,偶然;发生于"
difficult,[网络] 困难的
frog,"n. 青蛙
[医] 蛙, 马蹄叉"
kangaroo,"n. 袋鼠
[医] 袋鼠(澳洲产)"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
ocean,"n. 海洋, 广阔, 许多, 一大片
[法] 海洋, 海"
starfish,"[医] 海星, 海盘车"
Africa,n. 非洲
tiger,"n. 老虎, 虎, 凶暴的人"
Asia,n. 亚洲
be called,被叫做…；被称为…
lion,"n. 狮子；名人；勇猛的人；社交场合的名流
n. (Lion)人名；(西、葡)利昂；(德、法、意、捷、瑞典)利翁；(英)莱昂"
panda,"n. 大熊猫, 小熊猫"
bamboo,"n. 竹子
[医] 竹类"
elephant,n. 象
giraffe,"n. 长颈鹿, 鹿豹座"
neck,"n. 脖子, 衣领, 颈
vi. 拥抱, 拥吻, 收缩
vt. 割颈"
leaf,"n. 叶, 树叶, 花瓣, 页
vi. 生叶, 翻书页
vt. 在...上长叶, 翻...的页"
leaves,"pl. 树叶, 花瓣"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
[计] 保存"
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
earth,[网络] 莉莎的天空
whale,"n. 鲸
vi. 捕鲸
vt. 使惨败, 猛揍"
danger,"n. 危险；危险物，威胁
n. (Danger)人名；(法)当热"
in danger,在危险中
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
forever,"永远, 老是"
forest,"n. 森林, 林区
vt. 植树于"
pollute,"vt. 污染, 弄脏, 玷污
[化] 污染"
made,"comb.form 表示“…结构的”,“…制造的”：Well-made, precisison-made, factory-made, locally-made"
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
be made from,"用…制造,由…制成"
fur,"n. 毛皮
vt. 以毛皮制作, 使生苔, 使生水垢
vi. 生苔, 积水垢"
sea,"n. 海；海洋；大量；海面情况
abbr. (=Southeast Asia)东南亚
[网络] 大海；战略环境评价(Strategic Environmental Assessment)；统计能量分析(Statistical Energy Analysis)"
famous,"a. 出名的, 极好的"
Dr,"abbr. （书写形式）医生；（用于街道名）路
n. 【摄】动态范围
[网络] 博士；糖尿病视网膜病变(diabetic retinopathy)；指定路由器(Designated Router)"
Doctor,"n. 医生；博士
vt. 修理；窜改，伪造；为…治病；授以博士学位
vi. 就医；行医"
person,表示u201c人u201d(男人或女人中的一个)
history,[网络] 她的故事在男性主宰历史；祂的故事；历史文本上
leader,"n. 领导者, 社论, 指挥, 领袖, 领唱者, 前导字符
[计] 前导字符"
free,comb. 无…的；免除…的
inventor,"n. 发明家
[法] 发明人, 发明家, 创造者"
invent,"vt. 发明, 创作, 虚构
[机] 发明"
bulb,"n. 球茎, 电灯泡
[医] 球, 鳞茎, 球茎"
light bulb,n. 灯泡
actor,"n. 男演员, 行动者
[医] 作用物, 反应物"
movie,"n. 电影
[网络] 影片；电影院；影视"
musician,"n. 音乐家, 乐师, 作曲家"
iPad,n. 苹果平板电脑
probably,"adv. 大概, 或许"
come true,"实现, 成为事实"
company,[网络] 同伴；公司；公司化
game-maker,无
